Accession	Name	Description	ID	CARD Short Name
ARO:3000005	vanD	VanD is a D-Ala-D-Ala ligase homolog similar to VanA, and can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance.	36014	vanD
ARO:3000010	vanA	VanA is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with both vancomycin and teicoplanin resistance.	36019	vanA
ARO:3000013	vanB	VanB is a D-Ala-D-Ala ligase homolog similar to VanA, and can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with vancomycin resistance, but not teicoplanin resistance.	36022	vanB
ARO:3000024	patA	PatA is an ABC transporter of Streptococcus pneumoniae that interacts with PatB to confer fluoroquinolone resistance.	36033	patA
ARO:3000025	patB	PatB is an ABC transporter of Streptococcus pneumoniae that interacts with PatA to confer fluoroquinolone resistance..	36034	patB
ARO:3000026	mepA	MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance, while it has also been shown to decrease tigecycline susceptibility.	36035	mepA
ARO:3000027	emrA	EmrA is a membrane fusion protein, providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli, a Gram-negative bacterium.	36036	emrA
ARO:3000074	emrB	emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP), nalidixic acid, and thioloactomycin.	36213	emrB
ARO:3000090	Bla1	Bla1 is a chromosomal-encoded beta-lactamase, found in Bacillus anthracis, which hydrolyzes penicillins.	36229	Bla1
ARO:3000118	vgaB	Vga(B) is an ABC-F protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.	36257	vgaB
ARO:3000124	mecI	mecI acts as a repressor of transcription of the mecA/mecR1/mecI operon.	36263	mecI
ARO:3000149	FosA	An enzyme that confers resistance to fosfomycin in Serratia marcescens by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule. In Pseudomonas aeruginosa, FosA catalyzes the conjugation of glutathione to carbon-1 of fosfomycin, rendering it ineffective as an antibacterial drug.	36288	FosA
ARO:3000160	blaI	blaI acts as a repressor of transcription of the blaZ/blaR1/blaI operon.	36299	blaI
ARO:3000165	tet(A)	TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.	36304	tet(A)
ARO:3000166	tet(B)	Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline, doxycycline, and minocycline, but not tigecycline.	36305	tet(B)
ARO:3000167	tet(C)	Tet(C) is a tetracycline efflux pump found in many species of Gram-negative bacteria. It is typically found in plasmid DNA.	36306	tet(C)
ARO:3000168	tet(D)	TetD is a tetracycline efflux pump found exclusively in Gram-negative bacteria.	36307	tet(D)
ARO:3000172	FosB	A thiol transferase that leads to the resistance of fosfomycin. Contrasting FosA, FosB is dependent on the cofactor Magnesium (II) and uses either bacillithiol or  L-cysteine to open up the epoxide ring of fosfomycin.	36311	FosB
ARO:3000173	tet(E)	TetE is a tetracycline efflux pump found in many Gram-negative bacteria, especially those in water environments. The gene is found on large plasmids.	36312	tet(E)
ARO:3000174	tet(G)	TetG is a tetracycline efflux protein found in Gram-negative bacteria. The encoding gene is found in both chromosomal and plasmid DNA where it is frequently linked to the floR, sul1, and cmlA9 genes which encode proteins that can confer florfenicol/chloramphenicol, sulfamethoxazole, and chloramphenicol resistance, respectively.	36313	tet(G)
ARO:3000175	tet(H)	TetH is a tetracycline efflux protein expressed in Gram-negative bacteria (Actinobacillus, Acinetobacter, Gallibacterium, Histophilus, Mannheimia, Moraxella, Pasteurella, and Psychrobacter). Its gene is linked to the resistance genes sul2, and strAB, which confer resistance to sulfamethoxazole and streptomycin, respectively.	36314	tet(H)
