	Original Index	ARO Replacement
1	14	3002725
2	19	blaOXY-1-5
3	53	3004191
4	183	3002724
5	203	blaLEN10
6	211	3002720
7	220	3002739
8	246	blaACT-4
9	290	blaCARB-3
10	344	blaLEN13
11	397	3002764
12	429	blaLEN9
13	473	blaCMY-59
14	486	3002576
15	599	3002772
16	662	3002720
17	691	3002716
18	719	3007112
19	827	3002719
20	872	3002738
21	948	3002744
22	970	3002727
23	986	3000412
24	1010	blaVMB-1
25	1011	3002732
26	1036	3000449
27	1083	3003210
28	1092	3005554
29	1144	3007280
30	1171	formA
31	1267	3002746
32	1353	3002756
33	1354	3002728
34	1361	3002583
35	1363	3002843
36	1429	blaACC-4
37	1467	3002771
38	1469	penA
39	1473	3002730
40	1532	EstDL136
41	1634	blaCTX-M-131
42	1645	3002735
43	1693	3002770
44	1741	3004511
45	1770	3000191
46	1830	3002737
47	1858	blaOXA-85
48	1969	3002769
49	1981	3005113
50	1985	3002761
51	2008	3000232
52	2060	3002745
53	2071	blaCARB-21
54	2174	blaOXA-289
55	2262	blaBRO-1
56	2300	erm(N)
57	2320	3002731
58	2383	3004691
59	2444	3002741
60	2570	blaLEN12
61	2572	3002726
62	2618	3002528
63	2647	blaCARB-23
64	2674	3007384
65	2677	3004505
66	2727	3002775
67	2736	3004662
68	2821	blaACC-1
69	2852	3002584
70	2868	3000412
71	3017	3002749
72	3031	blaLEN7
73	3118	3002609
74	3128	3002724
75	3139	3002733
76	3196	blaLEN8
77	3197	3002732
