# argNorm version: 1.1.0
Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description	ARO	ARO_name	Cut_Off	confers_resistance_to	confers_resistance_to_names	resistance_to_drug_classes	resistance_to_drug_classes_names
	k119_2904	160	1377	+	tet(40)	tetracycline efflux MFS transporter Tet(40)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	406	406	100.0	99.51	406	WP_009247026.1	tetracycline efflux MFS transporter Tet(40)			ARO:3000567	tet(40)	Strict	ARO:0000051	tetracycline	ARO:3000050	tetracycline antibiotic
	k119_33901	12	542	-	vanH-D	D-lactate dehydrogenase VanH-D	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIAL_CONTIG_ENDX	177	323	54.8	100.0	177	WP_063856705.1	D-lactate dehydrogenase VanH-D			ARO:3002944	vanH gene in vanD cluster	Strict	ARO:0000028,ARO:0000029	vancomycin,teicoplanin	ARO:3000081,ARO:3000081	glycopeptide antibiotic,glycopeptide antibiotic
	k119_36643	11179	13101	+	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	641	641	100.0	99.38	641	WP_063856407.1	tetracycline resistance ribosomal protection protein Tet(Q)			ARO:3000191	tet(Q)	Strict	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
	k119_41685	18	1085	-	bexA	multidrug efflux MATE transporter BexA	plus	AMR	AMR	EFFLUX	EFFLUX	PARTIALX	356	443	80.36	92.98	356	BAB64566.1	multidrug efflux MATE transporter BexA			ARO:3003953	hmrM	Loose	ARO:0000045,ARO:3000662	acriflavine,norfloxacin	ARO:0000001,ARO:3005386	fluoroquinolone antibiotic,disinfecting agents and antiseptics
	k119_46979	234	725	-	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTX	164	164	100.0	97.56	164	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)			ARO:3002837	lnuC	Perfect	ARO:0000046	lincomycin	ARO:0000017	lincosamide antibiotic
	k119_47732	8	472	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	PARTIAL_CONTIG_ENDX	155	180	86.11	100.0	155	WP_000627290.1	streptothricin N-acetyltransferase Sat4			ARO:3002897	SAT-4	Strict	ARO:0000012	streptothricin	ARO:3000034	nucleoside antibiotic
	k119_48139	207	998	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.0	100.0	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa			ARO:3002647	APH(3')-IIIa	Perfect	ARO:0000005,ARO:0000013,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000652,ARO:3000655,ARO:3000657,ARO:3000658	neomycin,amikacin,ribostamycin,butirosin,kanamycin A,isepamicin,gentamicin B,paromomycin,lividomycin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
	k119_48233	34628	35488	+	aadS	aminoglycoside 6-adenylyltransferase AadS	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	287	287	100.0	100.0	287	WP_003013318.1	aminoglycoside 6-adenylyltransferase AadS			ARO:3004683	aadS	Perfect	ARO:0000040	streptomycin	ARO:0000016	aminoglycoside antibiotic
	k119_48273	12370	13533	+	tet(X2)	tetracycline-inactivating monooxygenase Tet(X2)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	388	388	100.0	99.74	388	WP_008651082.1	tetracycline-inactivating monooxygenase Tet(X2)			ARO:3000205	tet(X)	Strict	ARO:0000030,ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	tigecycline,tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
	k119_60190	978	2894	+	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.0	99.22	639	WP_014636291.1	tetracycline resistance ribosomal protection protein Tet(O)			ARO:3000190	tet(O)	Strict	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
