Original ID	argNorm drug classes	Original Drug Classes	Hit type	Status	Description
gi:447201635:ref:WP_001278891.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
HE999704.1.gene1687.p01|FEATURES|macA|MLS|macA	['phenicol antibiotic', 'phenicol antibiotic']	MLS	Loose	3000533	
gi:916182247:ref:WP_050964278.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
EDJ91555|FEATURES|PBP-1A|beta-lactam|PBP-1A	['glycopeptide antibiotic']	beta-lactam	Loose	3000001	
gi:446993873:ref:WP_001071129.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:915954384:ref:WP_050939464.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
gi:686372005:ref:WP_031896197.1:|FEATURES|fmtC|beta-lactam|fmtC	['peptide antibiotic']	beta-lactam	Loose	3000017	https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'disinfecting agents and antiseptics']	unclassified	Loose	correct	
gi:447201650:ref:WP_001278906.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	['beta-lactam antibiotic', 'beta-lactam antibiotic']	unclassified	Loose	10004	
A7ZW03|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	['macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'macrolide antibiotic', 'lincosamide antibiotic', 'lincosamide antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	aminoglycoside	Loose	3003333	https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
