input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism	ARO	confers_resistance_to	resistance_to_drug_classes
SRR2938063_1	SRR2938063.fq	aph(6)-I	ZP_04405450|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	sarg_db	2.3	ZP_04405450	ARGs-OAP	2.3	96.67			108	19			276	305									aminoglycoside			ARO:3002660	ARO:0000040	ARO:0000016
SRR2938063_3	SRR2938063.fq	bacA	ZP_03949893|FEATURES|bacA|bacitracin|bacA	sarg_db	2.3	ZP_03949893	ARGs-OAP	2.3	65.22			3	140			55	100									bacitracin			ARO:3002986	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
SRR2938063_5	SRR2938063.fq	erm(36)	AF462611.1.orf0.gene.p01|FEATURES|erm(36)|macrolide-lincosamide-streptogramin|erm(36)	sarg_db	2.3	AF462611.1.orf0.gene.p01	ARGs-OAP	2.3	71.74			142	5			119	164									macrolide-lincosamide-streptogramin			ARO:3000605	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
SRR2938063_6	SRR2938063.fq	aph(6)-I	BAC79067|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	sarg_db	2.3	BAC79067	ARGs-OAP	2.3	100.0			2	109			243	278									aminoglycoside			ARO:3002660	ARO:0000040	ARO:0000016
SRR2938063_9	SRR2938063.fq	ant(9)-I	JQ861959.1.gene7.p01|FEATURES|ant(9)-I|aminoglycoside|ant(9)-I	sarg_db	2.3	JQ861959.1.gene7.p01	ARGs-OAP	2.3	60.87			140	3			119	164									aminoglycoside					
SRR2938063_10	SRR2938063.fq	bacA	YP_932216|FEATURES|bacA|bacitracin|bacA	sarg_db	2.3	YP_932216	ARGs-OAP	2.3	57.45			2	142			144	190									bacitracin			ARO:3002986	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
SRR2938063_11	SRR2938063.fq	multidrug_ABC_transporter	gi|1031799645|ref|WP_064138838.1||FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	sarg_db	2.3	gi|1031799645|ref|WP_064138838.1|	ARGs-OAP	2.3	63.83			2	142			457	503									multidrug					
SRR2938063_12	SRR2938063.fq	aph(3'')-I	AF313472.2.gene15.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	sarg_db	2.3	AF313472.2.gene15.p01	ARGs-OAP	2.3	100.0			140	3			42	87									aminoglycoside			ARO:3002639	ARO:0000040	ARO:0000016
SRR2938063_14	SRR2938063.fq	tetT	L42544.gene.p01|FEATURES|tetT|tetracycline|tetT	sarg_db	2.3	L42544.gene.p01	ARGs-OAP	2.3	61.36			7	138			67	110									tetracycline			ARO:3000193	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_15	SRR2938063.fq	aph(3'')-I	AF313472.2.gene15.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	sarg_db	2.3	AF313472.2.gene15.p01	ARGs-OAP	2.3	97.83			140	3			79	124									aminoglycoside			ARO:3002639	ARO:0000040	ARO:0000016
SRR2938063_16	SRR2938063.fq	EmrB-QacA family major facilitator transporter	AE016830.1.gene768.p01|FEATURES|EmrB-QacA family major facilitator transporter|multidrug|EmrB-QacA family major facilitator transporter	sarg_db	2.3	AE016830.1.gene768.p01	ARGs-OAP	2.3	84.85			100	2			6	38									multidrug					
SRR2938063_17	SRR2938063.fq	aadA	AB114632.1.gene2.p01|FEATURES|aadA|aminoglycoside|aadA	sarg_db	2.3	AB114632.1.gene2.p01	ARGs-OAP	2.3	100.0			142	2			75	121									aminoglycoside			ARO:3002607	ARO:0000039,ARO:0000040	ARO:0000016,ARO:0000016
SRR2938063_20	SRR2938063.fq	vanD	gi|1002798395|gb|AMN85478.1||FEATURES|vanD|vancomycin|vanD	sarg_db	2.3	gi|1002798395|gb|AMN85478.1|	ARGs-OAP	2.3	60.87			1	138			77	122									vancomycin			ARO:3000005	ARO:3000081	ARO:3000081
SRR2938063_21	SRR2938063.fq	macB	gi|823291602|ref|WP_047047573.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|823291602|ref|WP_047047573.1|	ARGs-OAP	2.3	63.41			125	3			136	176									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_22	SRR2938063.fq	ermF	ZP_04543635|FEATURES|ermF|macrolide-lincosamide-streptogramin|ermF	sarg_db	2.3	ZP_04543635	ARGs-OAP	2.3	95.74			142	2			210	256									macrolide-lincosamide-streptogramin			ARO:3000604	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
SRR2938063_24	SRR2938063.fq	sul1	gi|919973700|ref|WP_052924616.1||FEATURES|sul1|sulfonamide|sul1	sarg_db	2.3	gi|919973700|ref|WP_052924616.1|	ARGs-OAP	2.3	100.0			142	14			237	279									sulfonamide			ARO:3000410	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282
SRR2938063_28	SRR2938063.fq	tetQ	P70882|FEATURES|tetQ|tetracycline|tetQ	sarg_db	2.3	P70882	ARGs-OAP	2.3	100.0			142	14			599	641									tetracycline			ARO:3000191	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050
SRR2938063_29	SRR2938063.fq	macB	gi|823281237|ref|WP_047037467.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|823281237|ref|WP_047037467.1|	ARGs-OAP	2.3	66.67			139	5			132	176									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_32	SRR2938063.fq	multidrug_transporter	gi|499230504|ref|WP_010928044.1||FEATURES|multidrug_transporter|multidrug|multidrug_transporter	sarg_db	2.3	gi|499230504|ref|WP_010928044.1|	ARGs-OAP	2.3	77.27			133	2			752	795									multidrug					
SRR2938063_35	SRR2938063.fq	aad(9)	AAX54909|FEATURES|aad(9)|aminoglycoside|aad(9)	sarg_db	2.3	AAX54909	ARGs-OAP	2.3	61.7			1	141			95	141									aminoglycoside			ARO:3002630	ARO:0000039	ARO:0000016
SRR2938063_36	SRR2938063.fq	bcrA	gi|542061059|gb|ERI11611.1||FEATURES|bcrA|bacitracin|bcrA	sarg_db	2.3	gi|542061059|gb|ERI11611.1|	ARGs-OAP	2.3	72.34			2	142			139	185									bacitracin			ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
SRR2938063_38	SRR2938063.fq	macB	gi|502669352|ref|WP_012905216.1||FEATURES|macB|macrolide-lincosamide-streptogramin|macB	sarg_db	2.3	gi|502669352|ref|WP_012905216.1|	ARGs-OAP	2.3	63.89			134	27			19	54									macrolide-lincosamide-streptogramin			ARO:3000535		
SRR2938063_39	SRR2938063.fq	vanR	AF162694.1.gene5.p01|FEATURES|vanR|vancomycin|vanR	sarg_db	2.3	AF162694.1.gene5.p01	ARGs-OAP	2.3	63.64			6	137			71	114									vancomycin					
