# argNorm version: 1.1.0
input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_sequence_id	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism	ARO	ARO_name	Cut_Off	confers_resistance_to	confers_resistance_to_names	resistance_to_drug_classes	resistance_to_drug_classes_names
combo_contig_fasta_out	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	NCBI Reference Gene Database	db_v_1	WP_000557454.1	amrfinderplus	tool_v_1	100.0	NODE_971_length_1351_cov_62.547068			91.0	948.0					+		100.0			286.0		286.0	AMINOGLYCOSIDE	GENTAMICIN		ARO:3004623	AAC(3)-IId	Perfect	ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007377,ARO:3007378,ARO:3007382	dibekacin,sisomicin,netilmicin,tobramycin,6'-N-ethylnetilmicin,2'-N-ethylnetilmicin,gentamicin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aac(3)-Ia	aminoglycoside N-acetyltransferase AAC(3)-Ia	NCBI Reference Gene Database	db_v_1	WP_002089484.1	amrfinderplus	tool_v_1	100.0	NODE_918_length_1662_cov_67.283136			111.0	572.0					+		100.0			154.0		154.0	AMINOGLYCOSIDE	GENTAMICIN		ARO:3002528	AAC(3)-Ia	Perfect	ARO:0000003,ARO:0000035,ARO:3007382	astromicin,sisomicin,gentamicin	ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aac(6')	aminoglycoside 6'-N-acetyltransferase	NCBI Reference Gene Database	db_v_1	WP_048234935.1	amrfinderplus	tool_v_1	100.0	NODE_145_length_82875_cov_62.736114			52078.0	52515.0					+		100.0			146.0		146.0	AMINOGLYCOSIDE	AMINOGLYCOSIDE		ARO:3002549	AAC(6')-Ic	Strict	ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379	dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	NCBI Reference Gene Database	db_v_1	WP_032488579.1	amrfinderplus	tool_v_1	100.0	NODE_1164_length_616_cov_317.882353			66.0	614.0					-		99.46			184.0		183.0	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN		ARO:3002546	AAC(6')-Ib	Perfect	ARO:0000013,ARO:0000049,ARO:0000052	amikacin,kanamycin A,tobramycin	ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NCBI Reference Gene Database	db_v_1	WP_001206315.1	amrfinderplus	tool_v_1	100.0	NODE_1125_length_693_cov_253.377743			3.0	683.0					-		86.64			262.0		227.0	AMINOGLYCOSIDE	STREPTOMYCIN		ARO:3002601	aadA	Strict	ARO:0000039,ARO:0000040	spectinomycin,streptomycin	ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	NCBI Reference Gene Database	db_v_1	WP_001206356.1	amrfinderplus	tool_v_1	100.0	NODE_1071_length_891_cov_118.978469			111.0	890.0					-		98.86			263.0		260.0	AMINOGLYCOSIDE	STREPTOMYCIN		ARO:3002602	aadA2	Strict	ARO:0000039,ARO:0000040	spectinomycin,streptomycin	ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	NCBI Reference Gene Database	db_v_1	WP_000503573.1	amrfinderplus	tool_v_1	100.0	NODE_926_length_1610_cov_65.670740			153.0	938.0					-		100.0			262.0		262.0	AMINOGLYCOSIDE	STREPTOMYCIN		ARO:3002605	aadA5	Strict	ARO:0000039,ARO:0000040	spectinomycin,streptomycin	ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic
combo_contig_fasta_out	abaF	fosfomycin efflux MFS transporter AbaF	NCBI Reference Gene Database	db_v_1	ABO11759.2	amrfinderplus	tool_v_1	100.0	NODE_150_length_79842_cov_63.110281			56542.0	57828.0					-		100.0			429.0		429.0	FOSFOMYCIN	FOSFOMYCIN		ARO:3004573	Acinetobacter baumannii AbaF	Perfect	ARO:0000025	fosfomycin	ARO:3007149	phosphonic acid antibiotic
combo_contig_fasta_out	acrF	multidrug efflux RND transporter permease subunit AcrF	NCBI Reference Gene Database	db_v_1	AAC76298.1	amrfinderplus	tool_v_1	99.42	NODE_425_length_22304_cov_66.882871			5336.0	8437.0					-		100.0			1034.0		1034.0	EFFLUX	EFFLUX		ARO:3000502	AcrF	Perfect	ARO:0000032,ARO:0000036,ARO:3000008	cephalosporin,ciprofloxacin,penicillin beta-lactam	ARO:0000001,ARO:3000007,ARO:3000007	fluoroquinolone antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
combo_contig_fasta_out	adeC	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	NCBI Reference Gene Database	db_v_1	AAL14441.1	amrfinderplus	tool_v_1	100.0	NODE_45_length_178169_cov_63.352830			117680.0	119074.0					-		100.0			465.0		465.0	EFFLUX	EFFLUX		ARO:3003811	adeC	Perfect	ARO:0000030,ARO:0000051	tigecycline,tetracycline	ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic
