	input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism	ARO	CONFERS RESISTANCE TO IMMEDIATE DRUG CLASS	OVERALL CATEGORY OF DRUG CLASS
0	GMGC10.043_080_310.UNKNOWN	GMGC10.wastewater.95nr.faa	fusH	fusidic_acid__fusH	sarg_db	2.0	fusidic_acid__fusH_train_msa	ARGs-OAP	2.0																		fusidic_acid			{'ARO:3003026'}	[]	[]
1	GMGC10.038_777_938.TDCA	GMGC10.wastewater.95nr.faa	mexT	multidrug__mexT	sarg_db	2.0	multidrug__mexT_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3000814'}	[]	[]
2	GMGC10.005_943_243.CPXA	GMGC10.wastewater.95nr.faa	vanS	vancomycin__vanS	sarg_db	2.0	vancomycin__vanS_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002939', 'ARO:3002931', 'ARO:3002934', 'ARO:3002935', 'ARO:3002941', 'ARO:3002932', 'ARO:3002938', 'ARO:3002937', 'ARO:3002933', 'ARO:3002936', 'ARO:3003564', 'ARO:3002940'}	[]	[]
3	GMGC10.016_764_219.SUGE	GMGC10.wastewater.95nr.faa	ykkD	multidrug__ykkD	sarg_db	2.0	multidrug__ykkD_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3003064'}	[]	[]
4	GMGC10.033_532_520.SUGE	GMGC10.wastewater.95nr.faa	ykkD	multidrug__ykkD	sarg_db	2.0	multidrug__ykkD_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3003064'}	[]	[]
5	GMGC10.033_532_520.SUGE	GMGC10.wastewater.95nr.faa	ykkC	multidrug__ykkC	sarg_db	2.0	multidrug__ykkC_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3003063'}	[]	[]
6	GMGC10.024_789_503.QACE	GMGC10.wastewater.95nr.faa	emrE	multidrug__emrE	sarg_db	2.0	multidrug__emrE_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3004580', 'ARO:3005009', 'ARO:3004039'}	[]	[]
7	GMGC10.015_797_678.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
8	GMGC10.011_120_555.HP1	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
9	GMGC10.035_037_882.UNKNOWN	GMGC10.wastewater.95nr.faa	mdtO	multidrug__mdtO	sarg_db	2.0	multidrug__mdtO_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3003549'}	[]	[]
10	GMGC10.008_204_986.DDPX	GMGC10.wastewater.95nr.faa	vanX	vancomycin__vanX	sarg_db	2.0	vancomycin__vanX_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3003725', 'ARO:3002954', 'ARO:3002949', 'ARO:3003070', 'ARO:3002950', 'ARO:3002952'}	[]	[]
11	GMGC10.042_594_820.UNKNOWN	GMGC10.wastewater.95nr.faa	aac(3)-I	aminoglycoside__aac_3__I	sarg_db	2.0	aminoglycoside__aac_3__I_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
12	GMGC10.019_952_298.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
13	GMGC10.011_909_052.SP_1863	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
14	GMGC10.031_686_056.SP_1863	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
15	GMGC10.041_450_619.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
16	GMGC10.037_255_217.ADCR	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
17	GMGC10.018_111_787.UNKNOWN	GMGC10.wastewater.95nr.faa	aac(3)-I	aminoglycoside__aac_3__I	sarg_db	2.0	aminoglycoside__aac_3__I_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
18	GMGC10.031_382_227.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
19	GMGC10.004_248_380.SP_1863	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
20	GMGC10.037_178_200.SP_1863	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
21	GMGC10.019_975_364.RMAH	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
22	GMGC10.043_155_950.EMRE	GMGC10.wastewater.95nr.faa	emrE	multidrug__emrE	sarg_db	2.0	multidrug__emrE_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3004580', 'ARO:3005009', 'ARO:3004039'}	[]	[]
23	GMGC10.019_805_418.ADCR	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
24	GMGC10.014_501_477.GPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
25	GMGC10.002_957_775.GPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
26	GMGC10.022_395_490.GPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
27	GMGC10.019_883_073.YAFP	GMGC10.wastewater.95nr.faa	aac(2')-I	aminoglycoside__aac_2___I	sarg_db	2.0	aminoglycoside__aac_2___I_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
28	GMGC10.020_619_476.OCAR_7245	GMGC10.wastewater.95nr.faa	streptothricin acetyltransferase	aminoglycoside__streptothricin_acetyltransferase	sarg_db	2.0	aminoglycoside__streptothricin_acetyltransferase_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
29	GMGC10.017_440_472.YAFP	GMGC10.wastewater.95nr.faa	aac(2')-I	aminoglycoside__aac_2___I	sarg_db	2.0	aminoglycoside__aac_2___I_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
30	GMGC10.019_495_927.SLYA	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
31	GMGC10.029_286_672.UNKNOWN	GMGC10.wastewater.95nr.faa	streptothricin acetyltransferase	aminoglycoside__streptothricin_acetyltransferase	sarg_db	2.0	aminoglycoside__streptothricin_acetyltransferase_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
32	GMGC10.014_033_903.EMRR	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
33	GMGC10.022_451_230.KEFB	GMGC10.wastewater.95nr.faa	rosB	fosmidomycin__rosB	sarg_db	2.0	fosmidomycin__rosB_train_msa	ARGs-OAP	2.0																		fosmidomycin			{'ARO:3003049'}	[]	[]
34	GMGC10.009_078_856.SUGE	GMGC10.wastewater.95nr.faa	ykkC	multidrug__ykkC	sarg_db	2.0	multidrug__ykkC_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3003063'}	[]	[]
35	GMGC10.009_078_856.SUGE	GMGC10.wastewater.95nr.faa	ykkD	multidrug__ykkD	sarg_db	2.0	multidrug__ykkD_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3003064'}	[]	[]
36	GMGC10.038_582_572.SUGE	GMGC10.wastewater.95nr.faa	ykkC	multidrug__ykkC	sarg_db	2.0	multidrug__ykkC_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3003063'}	[]	[]
37	GMGC10.038_582_572.SUGE	GMGC10.wastewater.95nr.faa	ykkD	multidrug__ykkD	sarg_db	2.0	multidrug__ykkD_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3003064'}	[]	[]
38	GMGC10.039_723_265.USPR	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
39	GMGC10.029_286_714.UNKNOWN	GMGC10.wastewater.95nr.faa	aac(3)-I	aminoglycoside__aac_3__I	sarg_db	2.0	aminoglycoside__aac_3__I_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
40	GMGC10.046_374_618.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
41	GMGC10.046_529_133.DSDC	GMGC10.wastewater.95nr.faa	mexT	multidrug__mexT	sarg_db	2.0	multidrug__mexT_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3000814'}	[]	[]
42	GMGC10.037_827_228.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
43	GMGC10.037_825_729.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
44	GMGC10.041_447_298.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
45	GMGC10.043_078_881.VANZ	GMGC10.wastewater.95nr.faa	vanZ	vancomycin__vanZ	sarg_db	2.0	vancomycin__vanZ_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002963', 'ARO:3002962'}	[]	[]
46	GMGC10.012_263_530.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
47	GMGC10.020_619_473.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
48	GMGC10.015_048_177.RMAH	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
49	GMGC10.046_571_388.UNKNOWN	GMGC10.wastewater.95nr.faa	vanY	vancomycin__vanY	sarg_db	2.0	vancomycin__vanY_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002956', 'ARO:3002959', 'ARO:3002961', 'ARO:3002966', 'ARO:3004738', 'ARO:3002957', 'ARO:3002958', 'ARO:3002955'}	[]	[]
50	GMGC10.034_105_239.FOLA	GMGC10.wastewater.95nr.faa	dfrA12	trimethoprim__dfrA12	sarg_db	2.0	trimethoprim__dfrA12_train_msa	ARGs-OAP	2.0																		trimethoprim			{'ARO:3002858'}	[]	[]
51	GMGC10.019_978_415.UNKNOWN	GMGC10.wastewater.95nr.faa	vanZ	vancomycin__vanZ	sarg_db	2.0	vancomycin__vanZ_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002963', 'ARO:3002962'}	[]	[]
52	GMGC10.029_613_731.EMRR	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
53	GMGC10.006_387_144.MARR3	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
54	GMGC10.029_601_965.VANZ	GMGC10.wastewater.95nr.faa	vanZ	vancomycin__vanZ	sarg_db	2.0	vancomycin__vanZ_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002963', 'ARO:3002962'}	[]	[]
55	GMGC10.014_515_172.EMRE	GMGC10.wastewater.95nr.faa	emrE	multidrug__emrE	sarg_db	2.0	multidrug__emrE_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3004580', 'ARO:3005009', 'ARO:3004039'}	[]	[]
56	GMGC10.044_268_711.GPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
57	GMGC10.009_112_064.PAIA	GMGC10.wastewater.95nr.faa	streptothricin acetyltransferase	aminoglycoside__streptothricin_acetyltransferase	sarg_db	2.0	aminoglycoside__streptothricin_acetyltransferase_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
58	GMGC10.040_352_124.HPR	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
59	GMGC10.032_844_714.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
60	GMGC10.004_161_322.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
61	GMGC10.019_807_853.UNKNOWN	GMGC10.wastewater.95nr.faa	vanZ	vancomycin__vanZ	sarg_db	2.0	vancomycin__vanZ_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002963', 'ARO:3002962'}	[]	[]
62	GMGC10.008_831_376.HPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
63	GMGC10.015_056_058.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
64	GMGC10.001_965_233.UNKNOWN	GMGC10.wastewater.95nr.faa	aac(3)-I	aminoglycoside__aac_3__I	sarg_db	2.0	aminoglycoside__aac_3__I_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
65	GMGC10.014_496_841.DSDC	GMGC10.wastewater.95nr.faa	mexT	multidrug__mexT	sarg_db	2.0	multidrug__mexT_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3000814'}	[]	[]
66	GMGC10.011_994_715.HPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
67	GMGC10.012_879_153.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
68	GMGC10.027_304_274.RIMI	GMGC10.wastewater.95nr.faa	streptothricin acetyltransferase	aminoglycoside__streptothricin_acetyltransferase	sarg_db	2.0	aminoglycoside__streptothricin_acetyltransferase_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
69	GMGC10.028_242_094.HPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
70	GMGC10.044_881_012.HPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
71	GMGC10.011_796_467.SP_1863	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
72	GMGC10.008_397_682.VANZ	GMGC10.wastewater.95nr.faa	vanZ	vancomycin__vanZ	sarg_db	2.0	vancomycin__vanZ_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002963', 'ARO:3002962'}	[]	[]
73	GMGC10.008_216_901.PURN	GMGC10.wastewater.95nr.faa	arnA	polymyxin__arnA	sarg_db	2.0	polymyxin__arnA_train_msa	ARGs-OAP	2.0																		polymyxin			{'ARO:3002985'}	[]	[]
74	GMGC10.017_533_119.HPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
75	GMGC10.029_726_268.PURN	GMGC10.wastewater.95nr.faa	arnA	polymyxin__arnA	sarg_db	2.0	polymyxin__arnA_train_msa	ARGs-OAP	2.0																		polymyxin			{'ARO:3002985'}	[]	[]
76	GMGC10.011_810_816.UNKNOWN	GMGC10.wastewater.95nr.faa	streptothricin acetyltransferase	aminoglycoside__streptothricin_acetyltransferase	sarg_db	2.0	aminoglycoside__streptothricin_acetyltransferase_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
77	GMGC10.011_810_816.UNKNOWN	GMGC10.wastewater.95nr.faa	aac(3)-I	aminoglycoside__aac_3__I	sarg_db	2.0	aminoglycoside__aac_3__I_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
78	GMGC10.036_212_787.PURN	GMGC10.wastewater.95nr.faa	arnA	polymyxin__arnA	sarg_db	2.0	polymyxin__arnA_train_msa	ARGs-OAP	2.0																		polymyxin			{'ARO:3002985'}	[]	[]
79	GMGC10.036_328_131.PURN	GMGC10.wastewater.95nr.faa	arnA	polymyxin__arnA	sarg_db	2.0	polymyxin__arnA_train_msa	ARGs-OAP	2.0																		polymyxin			{'ARO:3002985'}	[]	[]
80	GMGC10.008_220_642.PURN	GMGC10.wastewater.95nr.faa	arnA	polymyxin__arnA	sarg_db	2.0	polymyxin__arnA_train_msa	ARGs-OAP	2.0																		polymyxin			{'ARO:3002985'}	[]	[]
81	GMGC10.046_357_462.MDTP	GMGC10.wastewater.95nr.faa	mdtP	multidrug__mdtP	sarg_db	2.0	multidrug__mdtP_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3003550'}	[]	[]
82	GMGC10.040_352_531.UNKNOWN	GMGC10.wastewater.95nr.faa	streptothricin acetyltransferase	aminoglycoside__streptothricin_acetyltransferase	sarg_db	2.0	aminoglycoside__streptothricin_acetyltransferase_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
83	GMGC10.009_622_153.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
84	GMGC10.027_356_948.HPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
85	GMGC10.008_219_100.UNKNOWN	GMGC10.wastewater.95nr.faa	vanS	vancomycin__vanS	sarg_db	2.0	vancomycin__vanS_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002939', 'ARO:3002931', 'ARO:3002934', 'ARO:3002935', 'ARO:3002941', 'ARO:3002932', 'ARO:3002938', 'ARO:3002937', 'ARO:3002933', 'ARO:3002936', 'ARO:3003564', 'ARO:3002940'}	[]	[]
86	GMGC10.027_567_013.UNKNOWN	GMGC10.wastewater.95nr.faa	ereA	macrolide_lincosamide_streptogramin__ereA	sarg_db	2.0	macrolide_lincosamide_streptogramin__ereA_train_msa	ARGs-OAP	2.0																		macrolide_lincosamide_streptogramin			{'ARO:3002826', 'ARO:3000361'}	[]	[]
87	GMGC10.011_035_998.XPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
88	GMGC10.015_797_763.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
89	GMGC10.030_066_120.PURN	GMGC10.wastewater.95nr.faa	arnA	polymyxin__arnA	sarg_db	2.0	polymyxin__arnA_train_msa	ARGs-OAP	2.0																		polymyxin			{'ARO:3002985'}	[]	[]
90	GMGC10.007_732_312.FOLP	GMGC10.wastewater.95nr.faa	sul1	sulfonamide__sul1	sarg_db	2.0	sulfonamide__sul1_train_msa	ARGs-OAP	2.0																		sulfonamide			{'ARO:3000410'}	[]	[]
91	GMGC10.033_662_036.YYAT	GMGC10.wastewater.95nr.faa	aac(2')-I	aminoglycoside__aac_2___I	sarg_db	2.0	aminoglycoside__aac_2___I_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
92	GMGC10.006_387_025.HPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:3001305'}	[]	[]
93	GMGC10.042_038_363.ARTP	GMGC10.wastewater.95nr.faa	macB	macrolide_lincosamide_streptogramin__macB	sarg_db	2.0	macrolide_lincosamide_streptogramin__macB_train_msa	ARGs-OAP	2.0																		macrolide_lincosamide_streptogramin			{'ARO:3000535'}	[]	[]
94	GMGC10.007_789_234.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
95	GMGC10.033_314_055.STRA	GMGC10.wastewater.95nr.faa	aph(3''')-III	aminoglycoside__aph_3_____III	sarg_db	2.0	aminoglycoside__aph_3_____III_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
96	GMGC10.006_389_081.PURN	GMGC10.wastewater.95nr.faa	arnA	polymyxin__arnA	sarg_db	2.0	polymyxin__arnA_train_msa	ARGs-OAP	2.0																		polymyxin			{'ARO:3002985'}	[]	[]
97	GMGC10.013_810_521.BDP_1102	GMGC10.wastewater.95nr.faa	macB	macrolide_lincosamide_streptogramin__macB	sarg_db	2.0	macrolide_lincosamide_streptogramin__macB_train_msa	ARGs-OAP	2.0																		macrolide_lincosamide_streptogramin			{'ARO:3000535'}	[]	[]
98	GMGC10.021_077_660.UNKNOWN	GMGC10.wastewater.95nr.faa	tetR	tetracycline__tetR	sarg_db	2.0	tetracycline__tetR_train_msa	ARGs-OAP	2.0																		tetracycline			{'ARO:0000051'}	[]	[]
99	GMGC10.027_908_344.YBDO	GMGC10.wastewater.95nr.faa	mexT	multidrug__mexT	sarg_db	2.0	multidrug__mexT_train_msa	ARGs-OAP	2.0																		multidrug			{'ARO:3000814'}	[]	[]
100	GMGC10.028_242_683.PURN	GMGC10.wastewater.95nr.faa	arnA	polymyxin__arnA	sarg_db	2.0	polymyxin__arnA_train_msa	ARGs-OAP	2.0																		polymyxin			{'ARO:3002985'}	[]	[]
101	GMGC10.013_447_414.ARSR	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug				[]	[]
102	GMGC10.015_772_655.YUJD	GMGC10.wastewater.95nr.faa	macB	macrolide_lincosamide_streptogramin__macB	sarg_db	2.0	macrolide_lincosamide_streptogramin__macB_train_msa	ARGs-OAP	2.0																		macrolide_lincosamide_streptogramin			{'ARO:3000535'}	[]	[]
103	GMGC10.033_331_130.STRA	GMGC10.wastewater.95nr.faa	aph(3''')-III	aminoglycoside__aph_3_____III	sarg_db	2.0	aminoglycoside__aph_3_____III_train_msa	ARGs-OAP	2.0																		aminoglycoside				[]	[]
104	GMGC10.011_096_106.CUSS	GMGC10.wastewater.95nr.faa	vanS	vancomycin__vanS	sarg_db	2.0	vancomycin__vanS_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002939', 'ARO:3002931', 'ARO:3002934', 'ARO:3002935', 'ARO:3002941', 'ARO:3002932', 'ARO:3002938', 'ARO:3002937', 'ARO:3002933', 'ARO:3002936', 'ARO:3003564', 'ARO:3002940'}	[]	[]
105	GMGC10.008_221_604.VATB	GMGC10.wastewater.95nr.faa	vatB	macrolide_lincosamide_streptogramin__vatB	sarg_db	2.0	macrolide_lincosamide_streptogramin__vatB_train_msa	ARGs-OAP	2.0																		macrolide_lincosamide_streptogramin			{'ARO:3002841'}	[]	[]
106	GMGC10.004_191_452.VEX2	GMGC10.wastewater.95nr.faa	macB	macrolide_lincosamide_streptogramin__macB	sarg_db	2.0	macrolide_lincosamide_streptogramin__macB_train_msa	ARGs-OAP	2.0																		macrolide_lincosamide_streptogramin			{'ARO:3000535'}	[]	[]
107	GMGC10.040_352_318.SP_0629	GMGC10.wastewater.95nr.faa	vanY	vancomycin__vanY	sarg_db	2.0	vancomycin__vanY_train_msa	ARGs-OAP	2.0																		vancomycin			{'ARO:3002956', 'ARO:3002959', 'ARO:3002961', 'ARO:3002966', 'ARO:3004738', 'ARO:3002957', 'ARO:3002958', 'ARO:3002955'}	[]	[]
108	GMGC10.012_780_387.VEX2	GMGC10.wastewater.95nr.faa	macB	macrolide_lincosamide_streptogramin__macB	sarg_db	2.0	macrolide_lincosamide_streptogramin__macB_train_msa	ARGs-OAP	2.0																		macrolide_lincosamide_streptogramin			{'ARO:3000535'}	[]	[]
