input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity
groot.argannot.tsv	argannot~~~(Bla)cfiA9~~~AB087234:1-750  79      750     15D732M3D	argannot~~~(Bla)cfiA9~~~AB087234:1-750  79      750     15D732M3D	groot	v	argannot~~~(Bla)cfiA9~~~AB087234:1-750  79      750     15D732M3D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(Tet)Tet-40~~~AM419751:14211-15431   315     1221    156M7D1057M1D	argannot~~~(Tet)Tet-40~~~AM419751:14211-15431   315     1221    156M7D1057M1D	groot	v	argannot~~~(Tet)Tet-40~~~AM419751:14211-15431   315     1221    156M7D1057M1D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(MLS)ErmF~~~M14730:241-1041  321     801     598M10D189M4D	argannot~~~(MLS)ErmF~~~M14730:241-1041  321     801     598M10D189M4D	groot	v	argannot~~~(MLS)ErmF~~~M14730:241-1041  321     801     598M10D189M4D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(AGly)Aph7~~~GG774704:686456-687373  254     918     912M6D	argannot~~~(AGly)Aph7~~~GG774704:686456-687373  254     918     912M6D	groot	v	argannot~~~(AGly)Aph7~~~GG774704:686456-687373  254     918     912M6D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(Bla)cfxA2~~~AF504910:1-966  338     966     101M1D401M2D455M6D	argannot~~~(Bla)cfxA2~~~AF504910:1-966  338     966     101M1D401M2D455M6D	groot	v	argannot~~~(Bla)cfxA2~~~AF504910:1-966  338     966     101M1D401M2D455M6D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(MLS)ErmB~~~M11180:714-1451  178     738     4D732M2D	argannot~~~(MLS)ErmB~~~M11180:714-1451  178     738     4D732M2D	groot	v	argannot~~~(MLS)ErmB~~~M11180:714-1451  178     738     4D732M2D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(Tet)TetQ~~~Z21523:362-2287  539     1974    1D1970M3D	argannot~~~(Tet)TetQ~~~Z21523:362-2287  539     1974    1D1970M3D	groot	v	argannot~~~(Tet)TetQ~~~Z21523:362-2287  539     1974    1D1970M3D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(Bla)cfxA5~~~AY769934:28-993 449     966     775M1D184M6D	argannot~~~(Bla)cfxA5~~~AY769934:28-993 449     966     775M1D184M6D	groot	v	argannot~~~(Bla)cfxA5~~~AY769934:28-993 449     966     775M1D184M6D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(Bla)OXA-347~~~JN086160:1583-2407    191     825     11D812M1D1M	argannot~~~(Bla)OXA-347~~~JN086160:1583-2407    191     825     11D812M1D1M	groot	v	argannot~~~(Bla)OXA-347~~~JN086160:1583-2407    191     825     11D812M1D1M	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(Tet)TetW~~~AJ222769:3687-5606       203     1920    2D1900M18D	argannot~~~(Tet)TetW~~~AJ222769:3687-5606       203     1920    2D1900M18D	groot	v	argannot~~~(Tet)TetW~~~AJ222769:3687-5606       203     1920    2D1900M18D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(Tet)Tet-32~~~DQ647324:181-2100      148     1920    4D1897M19D	argannot~~~(Tet)Tet-32~~~DQ647324:181-2100      148     1920    4D1897M19D	groot	v	argannot~~~(Tet)Tet-32~~~DQ647324:181-2100      148     1920    4D1897M19D	groot	v	gene_presence_detected																											
groot.argannot.tsv	argannot~~~(Bla)cfxA4~~~AY769933:1-966  450     966     960M6D	argannot~~~(Bla)cfxA4~~~AY769933:1-966  450     966     960M6D	groot	v	argannot~~~(Bla)cfxA4~~~AY769933:1-966  450     966     960M6D	groot	v	gene_presence_detected																											
