Original ID	ARO	Gene Name in CARD	Description	Cut_Off
CP000034.1.gene2198.p01|FEATURES|ompF|multidrug|ompF	3000265	porin OmpF		Manual Curation
AAB08925|FEATURES|tetU|tetracycline|tetU	3004650	tet(U)		Manual Curation
CP000647.1.gene2517.p01|FEATURES|ompF|multidrug|ompF	3000265	porin OmpF		Manual Curation
gi:504720116:ref:WP_014907218.1:|FEATURES|ompF|multidrug|ompF	3000265	porin OmpF		Manual Curation
AM180355.1.gene2260.p01|FEATURES|ermC|MLS|ermC	3000250	ErmC		Manual Curation
gi:501976562:ref:WP_012681429.1:|FEATURES|cystathionine_beta-lyase_patB|unclassified|cystathionine_beta-lyase_patB	3000025	patB		Manual Curation
gi:447201629:ref:WP_001278885.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	0010004	RND type drug efflux	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2696896/	Manual Curation
gi:489831097:ref:WP_003734834.1:|FEATURES|cystathionine_beta-lyase_patB|unclassified|cystathionine_beta-lyase_patB	3000025	patB		Manual Curation
gi:685904080:ref:WP_031644138.1:|FEATURES|cystathionine_beta-lyase_patB|unclassified|cystathionine_beta-lyase_patB	3000025	patB		Manual Curation
NP_253005.1|FEATURES|MvaT|multidrug|MvaT	3004069	MvaT		Manual Curation
NP_417544.5|FEATURES|patA|fluoroquinolone|patA	3000024	patA		Manual Curation
NP_416340.1|FEATURES|mgrB|multidrug|mgrB	3003820	mgrB		Manual Curation
AUW34359.1|FEATURES|RSA-2|beta-lactam|RSA-2	3005440	RSA2 beta-lactamase	ARO number of RSA2 had been changed.	Manual Curation
NP_310518|FEATURES|Escherichia_coli_mipA|multidrug|Escherichia_coli_mipA	3004127	Escherichia coli mipA		Manual Curation
YP_248152|FEATURES|PBP-1A|beta-lactam|PBP-1A	3000001	beta-lactamase		Manual Curation
gi:447201635:ref:WP_001278891.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	0010004		Previously mapped to ARO:3002484 (LRA-13) by RGI	Manual Curation
HE999704.1.gene1687.p01|FEATURES|macA|MLS|macA	3000533		Previously mapped to ARO:3004666 (pexA) by RGI	Manual Curation
