input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
GMGC10.021_717_915.UNKNOWN	GMGC10.95nr_block_0000	ArmR	ArmR a 53-amino-acid antirepressor allosterically inhibits MexR dimer-DNA binding by occupying a hydrophobic binding cavity within the center of the MexR dimer. ArmR up-regulation and MexR-ArmR complex formation have previously been shown to upregulate MexAB-OprM.	card	2021-Mar-27	AE004091.2:4165880-4165718	abricate	abricate 1.0.1	88.27			1	162					+		100.0						aminocoumarin;carbapenem;cephalosporin;cephamycin;diaminopyrimidine;fluoroquinolone;macrolide;monobactam;penam;penem;peptide;phenicol;sulfonamide;tetracycline		
GMGC10.025_807_996.UNKNOWN	GMGC10.95nr_block_0001	CrpP	A plasmid-encoded ciprofloxacin resistance protein identified from a Pseudomonas aeruginosa plasmid. CrpP confers resistance to ciprofloxacin by antibiotic inactivation through phosphorylation. Described by Chavez-Jacobo et al. 2018.	card	2021-Mar-27	HM560971.1:119269-119071	abricate	abricate 1.0.1	94.44			13	210					+		100.0						fluoroquinolone		
GMGC10.011_421_809.UNKNOWN	GMGC10.95nr_block_0002	CrpP	A plasmid-encoded ciprofloxacin resistance protein identified from a Pseudomonas aeruginosa plasmid. CrpP confers resistance to ciprofloxacin by antibiotic inactivation through phosphorylation. Described by Chavez-Jacobo et al. 2018.	card	2021-Mar-27	HM560971.1:119269-119071	abricate	abricate 1.0.1	98.99			49	246					+		100.0						fluoroquinolone		
GMGC10.013_153_847.UNKNOWN	GMGC10.95nr_block_0002	vanUG	vanUG is a vanG variant found in the vanG gene cluster.	card	2021-Mar-27	DQ212986:2029-2257	abricate	abricate 1.0.1	100.0			1	228					+		100.0						glycopeptide		
GMGC10.016_690_720.UNKNOWN	GMGC10.95nr_block_0002	dfrB3	dfrB3 is an integron-encoded dihydrofolate reductase found in Klebsiella oxytoca	card	2021-Mar-27	GQ150744:122-359	abricate	abricate 1.0.1	100.0			1	237					+		100.0						diaminopyrimidine		
GMGC10.026_804_036.UNKNOWN	GMGC10.95nr_block_0002	dfrB5	A dihydrofolate reductase and trimethoprim resistance gene identified from an integron in Pseudomonas aeruginosa	card	2021-Mar-27	AY943084.1:2855-3092	abricate	abricate 1.0.1	100.0			1	237					+		100.0						diaminopyrimidine		
GMGC10.044_316_970.UNKNOWN	GMGC10.95nr_block_0002	dfrB3	dfrB3 is an integron-encoded dihydrofolate reductase found in Klebsiella oxytoca	card	2021-Mar-27	GQ150744:122-359	abricate	abricate 1.0.1	85.78			15	232					+		91.98						diaminopyrimidine		
GMGC10.046_578_884.UNKNOWN	GMGC10.95nr_block_0002	dfrB4	A trimethoprim-resistant dihydrofolate reductase characterized on a class I integron from an E. coli isolate.	card	2021-Mar-27	KP314737.1:74-311	abricate	abricate 1.0.1	100.0			1	237					+		100.0						diaminopyrimidine		
GMGC10.006_663_695.YKKD	GMGC10.95nr_block_0004	ykkD	ykkD is an SMR-type protein that is a subunit of the ykkCD efflux pump	card	2021-Mar-27	AL009126:1376854-1377172	abricate	abricate 1.0.1	81.55			10	318					+		97.17						aminoglycoside;phenicol;tetracycline		
GMGC10.007_202_367.YKKD	GMGC10.95nr_block_0004	ykkD	ykkD is an SMR-type protein that is a subunit of the ykkCD efflux pump	card	2021-Mar-27	AL009126:1376854-1377172	abricate	abricate 1.0.1	98.43			1	318					+		100.0						aminoglycoside;phenicol;tetracycline		
GMGC10.007_978_748.RBPA	GMGC10.95nr_block_0004	RbpA	RNA-polymerase binding protein which confers resistance to rifampin.	card	2021-Mar-27	HQ203032:0-345	abricate	abricate 1.0.1	85.11			4	285					+		81.74						rifamycin		
GMGC10.016_584_545.YKKD	GMGC10.95nr_block_0004	ykkD	ykkD is an SMR-type protein that is a subunit of the ykkCD efflux pump	card	2021-Mar-27	AL009126:1376854-1377172	abricate	abricate 1.0.1	94.34			1	318					+		100.0						aminoglycoside;phenicol;tetracycline		
GMGC10.022_919_028.YKKD	GMGC10.95nr_block_0004	ykkD	ykkD is an SMR-type protein that is a subunit of the ykkCD efflux pump	card	2021-Mar-27	AL009126:1376854-1377172	abricate	abricate 1.0.1	94.34			1	318					+		100.0						aminoglycoside;phenicol;tetracycline		
GMGC10.024_805_645.YKKD	GMGC10.95nr_block_0004	ykkD	ykkD is an SMR-type protein that is a subunit of the ykkCD efflux pump	card	2021-Mar-27	AL009126:1376854-1377172	abricate	abricate 1.0.1	85.85			1	318					+		100.0						aminoglycoside;phenicol;tetracycline		
GMGC10.036_012_454.YKKD	GMGC10.95nr_block_0004	ykkD	ykkD is an SMR-type protein that is a subunit of the ykkCD efflux pump	card	2021-Mar-27	AL009126:1376854-1377172	abricate	abricate 1.0.1	94.6			1	315					+		99.06						aminoglycoside;phenicol;tetracycline		
GMGC10.001_971_310.EMRE	GMGC10.95nr_block_0005	Pseudomonas_aeruginosa_emrE	EmrE is a small multidrug transporter that functions as a homodimer and that couples the efflux of small polyaromatic cations from the cell with the import of protons down an electrochemical gradient. Confers resistance to tetraphenylphosphonium methyl viologen gentamicin kanamycin and neomycin.	card	2021-Mar-27	AE004091.2:5606102-5606435	abricate	abricate 1.0.1	93.69			1	333					+		100.0						aminoglycoside		
GMGC10.002_267_004.RBPA	GMGC10.95nr_block_0005	RbpA	RNA-polymerase binding protein which confers resistance to rifampin.	card	2021-Mar-27	HQ203032:0-345	abricate	abricate 1.0.1	88.36			1	318					+		92.17						rifamycin		
GMGC10.002_591_786.MDTI	GMGC10.95nr_block_0005	Klebsiella_pneumoniae_KpnF	KpnF subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan.	card	2021-Mar-27	AP006725.1:2484238-2484568	abricate	abricate 1.0.1	99.39			1	330					+		100.0						aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline		
GMGC10.002_823_261.YKKC	GMGC10.95nr_block_0005	ykkC	ykkC is an SMR-type protein that is a subunit of the ykkCD efflux pump	card	2021-Mar-27	AL009126:1376516-1376855	abricate	abricate 1.0.1	92.03			1	339					+		100.0						aminoglycoside;phenicol;tetracycline		
GMGC10.003_120_027.RAMA	GMGC10.95nr_block_0005	ramA	RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.	card	2021-Mar-27	JQ727668:0-375	abricate	abricate 1.0.1	80.99			1	342					+		91.2						carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan		
GMGC10.003_120_766.MDTI	GMGC10.95nr_block_0005	Klebsiella_pneumoniae_KpnF	KpnF subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan.	card	2021-Mar-27	AP006725.1:2484238-2484568	abricate	abricate 1.0.1	82.42			1	330					+		100.0						aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline		
GMGC10.003_298_734.RBPA	GMGC10.95nr_block_0005	RbpA	RNA-polymerase binding protein which confers resistance to rifampin.	card	2021-Mar-27	HQ203032:0-345	abricate	abricate 1.0.1	85.71			1	315					+		91.3						rifamycin		
