	Unnamed: 0	Original ID	Gene Name in CARD	ARO	Database
0	0	mecD_1_KY013611	mecD	3004185.0	resfinder
1	1	blaGOB-15_1_AY775547	GOB-15	3004807.0	resfinder
2	2	blaOXA-283_1_AYHO01000005	OXA-283	3001738.0	resfinder
3	3	blaPLA2a_1_AY307385	PLA-2a	3006969.0	resfinder
4	4	blaZ_57_NZ_JURP01000126	PC1 beta-lactamase (blaZ)	3000621.0	resfinder
5	5	nimF_1_AJ515145	ErmW	3001306.0	resfinder
6	6	blaOXA-488_1_CP017969	OXA-488	3003645.0	resfinder
7	7	blaOXA-386_1_KF986254	OXA-386	3001572.0	resfinder
8	8	blaCMY-39_1_AB372224	CMY-39	3002050.0	resfinder
9	9	blaGES-7_1_HM453325	GES-7	3002336.0	resfinder
10	10	blaIMP-49_1_KP681694	IMP-49	3003657.0	resfinder
11	11	aph(6)-Id_5_18676889	APH(6)-Id	3002660.0	resfinder
12	12	blaTEM-87_1_AF250872	TEM-87	3000954.0	resfinder
13	13	blaTEM-198_1_AB700703	TEM-198	3001057.0	resfinder
14	14	qnrB11_1_EF653270	qnrB11	qnrB11	resfinder
15	15	mcr-3.22_1_NG060581	MCR-3.4	3004691.0	resfinder
16	16	tet(J)_2_AF038993	tet(J)	3000177.0	resfinder
17	17	blaSHV-157_1_JX121124	SHV-157	3001196.0	resfinder
18	18	dfrA26_1_AM403715	dfrA26	3002857.0	resfinder
19	19	blaOXY-1-5_5_AY077486	blaOXY-1-5	blaOXY-1-5	resfinder
20	20	blaOXA-240_1_JX089628	OXA-240	3001499.0	resfinder
21	21	blaOXA-460_1_KR061508	OXA-460	3003616.0	resfinder
22	22	blaOXA-117_1_GQ423625	OXA-117	3001442.0	resfinder
23	23	blaOXA-297_1_APRR01000006	OXA-297	3001752.0	resfinder
24	24	blaZ_108_FQPO01000005	PC1 beta-lactamase (blaZ)	3000621.0	resfinder
25	25	blaACT-15_1_JX440356	ACT-15	3001837.0	resfinder
26	26	mph(E)_1_DQ839391	mphE	3003741.0	resfinder
27	27	tet(D)_2_X65876	tet(D)	3000168.0	resfinder
28	28	blaOXA-436_1_KT959105	OXA-436	3003128.0	resfinder
29	29	blaIMP-5_1_AF290912	IMP-5	3002196.0	resfinder
30	30	tet(M)_12_FR671418	tetM	3000186.0	resfinder
31	31	blaSHV-134_1_HM559945	SHV-134	3001178.0	resfinder
32	32	blaOKP-A-12_1_AM850915	OKP-A-12	3002429.0	resfinder
33	33	blaCTX-M-29_1_AY267213	CTX-M-29	3001891.0	resfinder
34	34	blaZ_3_CP000732	PC1 beta-lactamase (blaZ)	3000621.0	resfinder
35	35	blaOXA-230_1_JQ422054	OXA-230	3001693.0	resfinder
36	36	blaOXY-2-7_7_Z49084	OXY-2-7	3002402.0	resfinder
37	37	blaTEM-1B_1_AY458016	TEM-1	3000873.0	resfinder
38	38	blaOXA-431_1_KM979378	OXA-431	3003124.0	resfinder
39	39	erm(T)_2_AY894138	ErmT	3000595.0	resfinder
40	40	blaZ_72_NZ_CUHG01000035	PC1 beta-lactamase (blaZ)	3000621.0	resfinder
41	41	blaTEM-210_1_KJ484630	TEM-210	3001387.0	resfinder
42	42	blaTEM-186_1_JN227084	TEM-186	3001046.0	resfinder
43	43	aadA16_1_EU675686	aadA16	3002616.0	resfinder
44	44	aph(3')-Ia_7_X62115	APH(3')-Ia	3002641.0	resfinder
45	45	blaCARB-30_1_NG_048734	CARB-30	3005566.0	resfinder
46	46	fosA6_1_KU254579	FosA6	3004111.0	resfinder
47	47	catQ_1_M55620	catQ	3002687.0	resfinder
48	48	blaOXA-315_1_KF057032	OXA-315	3001686.0	resfinder
49	49	sul1_37_AF188331	sul1	3000410.0	resfinder
50	50	blaLEN22_1_AM850912	LEN-22	3002469.0	resfinder
51	51	blaCTX-M-104_1_HQ833652	CTX-M-104	3001963.0	resfinder
52	52	blaLEN24_1_AM850914	LEN-24	3002471.0	resfinder
53	53	aph(2'')-If_2_AY701528	aph(2'')-If	aph(2'')-If	resfinder
54	54	blaCTX-M-198_1_KY646304	CTX-M-198	3005621.0	resfinder
55	55	blaOXA-63_1_AY619003	OXA-63	3001764.0	resfinder
56	56	blaGOB-14_1_AY647252	GOB-14	3004806.0	resfinder
57	57	blaCTX-M-14_1_AF252622	CTX-M-14	3001877.0	resfinder
58	58	blaOXY-6-3_3_AJ871876	OXY-6-3	3002415.0	resfinder
59	59	erm(C)_3_M17990	ErmC	3000250.0	resfinder
60	60	mre(A)_1_U92073	mreA	3007050.0	resfinder
61	61	VanLXY_1_EU250284	vanL	3002910.0	resfinder
62	62	VanLXY_1_EU250284	vanXY gene in vanL cluster	3002968.0	resfinder
63	63	blaNDM-23_1_MH450214	NDM-23	3004866.0	resfinder
64	64	blaOXA-208_1_KF305665	OXA-208	3001486.0	resfinder
65	65	blaGIM-1_1_JF414726	GIM-1	3000845.0	resfinder
66	66	dfrB7_1_DQ993182	DfrB9	3005350.0	resfinder
67	67	blaCTX-M-142_1_KF240809	CTX-M-142	3002000.0	resfinder
68	68	blaOXA-392_1_AB901044	OXA-392	3001578.0	resfinder
69	69	blaIMP-12_1_AJ420864	IMP-12	3002203.0	resfinder
70	70	erm(B)_22_X52632	ErmB	3000375.0	resfinder
71	71	blaOXA-557_1_KY126232	OXA-557	3005781.0	resfinder
72	72	blaCTX-M-137_1_KF790923	CTX-M-137	3001994.0	resfinder
73	73	blaTEM-166_1_FJ197316	TEM-166	3001032.0	resfinder
74	74	blaB-3_2_AF189299	BlaB-33	3005547.0	resfinder
75	75	blaOXA-179_1_HM570035	OXA-179	3001473.0	resfinder
76	76	blaOXA-550_1_KY682752	OXA-550	3005774.0	resfinder
77	77	blaOXA-156_1_KP771984	OXA-156	3001461.0	resfinder
78	78	blaCMY-43_1_FJ360626	CMY-43	3002054.0	resfinder
79	79	VanHAX_1_FJ866609	vanH gene in vanA cluster	3002942.0	resfinder
80	80	VanHAX_1_FJ866609	vanA	3000010.0	resfinder
81	81	VanHAX_1_FJ866609	vanX gene in vanA cluster	3002949.0	resfinder
82	82	blaOXA-479_1_KR182172	OXA-479	3003636.0	resfinder
83	83	blaLAP-1_1_EF026092	LAP-1	3004825.0	resfinder
84	84	blaSHV-109_1_EU418913	SHV-109	3001158.0	resfinder
85	85	tet(L)_5_X08034	tet(45)	3003196.0	resfinder
86	86	blaLEN15_1_AF452105	LEN-15	3002478.0	resfinder
87	87	cfiA14_1_FM200789	CfiA14	3006908.0	resfinder
88	88	blaCTX-M-127_1_MF196229	CTX-M-127	3001986.0	resfinder
89	89	blaCTX-M-163_1_KP681698	CTX-M-163	3003647.0	resfinder
90	90	lnu(A)_1_M14039	lnuA	3002835.0	resfinder
91	91	tet(X5)_1_CP040912	Tet(X5)	3005057.0	resfinder
92	92	ant(2'')-Ia_11_HM367620	ANT(2'')-Ia	3000230.0	resfinder
93	93	blaOXY-1-2_2_AJ871864	OXY-1-2	3002390.0	resfinder
94	94	blaCMY-124_1_KM985462	CMY-124	3003132.0	resfinder
95	95	blaOXA-224_1_JN412067	OXA-224	3001806.0	resfinder
96	96	blaSHV-107_1_AM922308	SHV-107	3001156.0	resfinder
97	97	blaOXA-130_1_EU547445	OXA-130	3001651.0	resfinder
98	98	blaZ_27_JDGZ01000043	PC1 beta-lactamase (blaZ)	3000621.0	resfinder
99	99	blaCMY-53_1_HQ336940	CMY-53	3002064.0	resfinder
100	100	tet(T)_1_L42544	tetT	3000193.0	resfinder
101	101	erm(R)_1_M11276	ErmR	3000594.0	resfinder
102	102	blaGOB-1_1_EF394442	GOB-48	3005696.0	resfinder
103	103	blaTEM-130_1_AJ866988	TEM-130	3000994.0	resfinder
104	104	blaTEM-153_1_KC149518	TEM-153	3001369.0	resfinder
105	105	mcr-1.11_1_KY853650	MCR-1.11	3004688.0	resfinder
106	106	blaFOX-7_1_AJ703796	FOX-7	3002160.0	resfinder
107	107	blaZ_19_JBMK01000007	PC1 beta-lactamase (blaZ)	3000621.0	resfinder
108	108	blaOXA-269_1_APQJ01000007	OXA-269	3001725.0	resfinder
109	109	optrA_8_KT862782	optrA	3003746.0	resfinder
110	110	blaLAT-1_1_X78117	LAT-1	3001857.0	resfinder
111	111	blaOXA-314_1_KF057031	OXA-314	3001685.0	resfinder
112	112	tet(O/W)-1_1_AY485126	tet(W/N/W)	3004442.0	resfinder
113	113	blaVIM-18_1_AM778091	VIM-18	3002288.0	resfinder
114	114	dfrA1_4_AB188271	dfrA1	3002854.0	resfinder
115	115	blaCTX-M-46_1_AY847147	CTX-M-46	3001908.0	resfinder
116	116	lsa(B)_1_AJ579365	lsaB	3003111.0	resfinder
117	117	blaOXY-2-3_3_AY077488	OXY-2-3	3002398.0	resfinder
118	118	blaCMY-144_1_KY066478	CMY-144	3005219.0	resfinder
119	119	blaIMP-15_1_AY553333	IMP-15	3002206.0	resfinder
120	120	blaCTX-M-191_1_KY271097	CTX-M-191	3005614.0	resfinder
121	121	blaFOX-8_1_HM565917	FOX-8	3002161.0	resfinder
122	122	blaOXA-249_1_HE963770	OXA-249	3001674.0	resfinder
123	123	aph(6)-Id_1_M28829	APH(6)-Id	3002660.0	resfinder
124	124	blaSHV-42_1_AF535130	SHV-42	3001100.0	resfinder
125	125	blaBEL-2_1_FJ666063	BEL-2	3002386.0	resfinder
126	126	blaSHV-8_1_U92041	SHV-8	3001067.0	resfinder
127	127	dfrA22_5_AJ968952	dfr22	3005354.0	resfinder
128	128	blaNDM-15_1_KP735848	NDM-15	3003663.0	resfinder
129	129	blaSHV-119_1_JX192924	SHV-119	3001340.0	resfinder
