	Original ID	ARO Replacement	Gene Name in CARD
0	3337073|BAA31832.1|1|1|katP|katP||1|||catalase/peroxidase_KatP	katP	katP
1	3115184|CAA73506.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA	espA	espA
2	124106658|BAF45451.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
3	2865308|AAC38400.1|1|1|espF|espF||1|||type_III_secretion_system_LEE_effector_EspF	EspF	espF
4	0|WP_000872282.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X5	3003938 	pbp2x
5	193934430|ACF30254.1|1|1|mtrR|mtrR|efflux|1|EFFLUX|EFFLUX|multidrug_efflux_system_transcriptional_repressor_MtrR	3000817	mtrR
6	139003787|BAF52360.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
7	121308153|CAM11313.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA	NleA	nleA
8	124106630|BAF45437.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
9	115514355|ABJ02430.1|1|1|ireA|ireA||1|||TonB-dependent_siderophore_receptor_IreA	IreA	ireA
10	0|WP_000872271.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X0	3003938 	pbp2x
11	54311626|CAG17541.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA	EspA	espA
12	2465785|AAC45722.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin	f17g	f17g
13	0|WP_061745305.1|1|1|pbp2x|pbp2x|susceptible|2|||penicillin-binding_protein_PBP2X17	3003938 	pbp2x
14	166409298|BAG06667.1|1|1|ses|ses||1|||staphylococcal_enterotoxin_type_S	ses	ses
15	147830|AAA24632.1|1|1|stxA2f|stxA2f||1|STX2F|STX2|Shiga_toxin_Stx2f_subunit_A	stxA2f	stxA2f
16	2879920|BAA24823.1|1|1|arsB_pKW301|arsB_pKW301||1|ARSENITE|ARSENIC|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_pKW301	arsB_pKW301
17	12518278|AAG58695.1|1|1|lpfA1|lpfA1||1|||long_polar_fimbria_major_subunit_LpfA1	LpfA1	lpfA1
18	2865302|AAC38394.1|1|1|espA|espA||1|||type_III_secretion_system_LEE_translocon_filament_protein_EspA	EspA	espA
19	300492223|ADK23698.1|1|1|qacR|qacR||1|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|multidrug-binding_transcriptional_regulator_QacR	qacR	qacR
20	100173053|ABF69110.1|1|1|beta-4|beta-4||1|KAPPA|INTIMIN|intimin_type_kappa	beta-4	beta-4
21	168986470|BAG12001.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2	TccP2	tccP2
22	222708721|ACM67162.1|1|1|gamma-4|gamma-4||1|GAMMA|INTIMIN|intimin_type_gamma	gamma-4	gamma-4
