fusidic_acid__fusH_train_msa -          GMGC10.043_080_310.UNKNOWN -            0.00098   11.3   0.0   0.00098   11.3   0.0   1.0   1   0   0   1   1   1   1 -
multidrug__mexT_train_msa -          GMGC10.038_777_938.TDCA -            8.6e-05   15.4   0.0   9.1e-05   15.3   0.0   1.0   1   0   0   1   1   1   1 -
vancomycin__vanS_train_msa -          GMGC10.005_943_243.CPXA -            3.3e-20   66.0   0.0   3.5e-20   65.9   0.0   1.0   1   0   0   1   1   1   1 -
multidrug__ykkD_train_msa -          GMGC10.016_764_219.SUGE -              4e-21   68.8   9.0   4.4e-21   68.7   9.0   1.0   1   0   0   1   1   1   1 -
multidrug__ykkD_train_msa -          GMGC10.033_532_520.SUGE -            5.9e-20   65.1   6.0   7.4e-20   64.7   6.0   1.1   1   0   0   1   1   1   1 -
multidrug__ykkC_train_msa -          GMGC10.033_532_520.SUGE -            3.9e-18   59.4   7.1   4.5e-18   59.2   7.1   1.1   1   0   0   1   1   1   1 -
multidrug__emrE_train_msa -          GMGC10.024_789_503.QACE -            1.5e-37  122.3  12.4   1.6e-37  122.2  12.4   1.0   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.015_797_678.UNKNOWN -            2.8e-07   24.0   0.0   3.8e-07   23.6   0.0   1.3   1   0   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.011_120_555.HP1 -             0.0013   12.2   0.0     0.002   11.6   0.0   1.2   1   0   0   1   1   1   1 -
multidrug__mdtO_train_msa -          GMGC10.035_037_882.UNKNOWN -             0.0017   10.3   3.8   0.00071   11.5   1.6   1.3   1   1   0   1   1   1   1 -
vancomycin__vanX_train_msa -          GMGC10.008_204_986.DDPX -            9.5e-14   45.2   0.1   1.1e-10   35.2   0.1   2.0   1   1   0   1   1   1   1 -
aminoglycoside__aac_3__I_train_msa -          GMGC10.042_594_820.UNKNOWN -            8.4e-11   35.7   0.0     1e-10   35.4   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.019_952_298.UNKNOWN -            2.8e-07   24.0   0.0   3.3e-07   23.8   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.011_909_052.SP_1863 -            4.5e-22   72.1   0.3   5.2e-22   71.9   0.3   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.031_686_056.SP_1863 -            6.4e-21   68.3   0.1   7.5e-21   68.1   0.1   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.041_450_619.UNKNOWN -            1.8e-08   27.9   0.0   2.1e-08   27.6   0.0   1.2   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.037_255_217.ADCR -            2.8e-08   27.2   0.2   3.6e-08   26.9   0.2   1.2   1   0   0   1   1   1   1 -
aminoglycoside__aac_3__I_train_msa -          GMGC10.018_111_787.UNKNOWN -            1.8e-09   31.3   0.2     2e-09   31.2   0.2   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.031_382_227.UNKNOWN -            5.1e-14   45.9   0.2   7.2e-14   45.4   0.2   1.3   1   1   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.004_248_380.SP_1863 -            1.1e-12   41.5   0.0   1.4e-12   41.2   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.037_178_200.SP_1863 -            1.5e-12   41.1   0.0   1.9e-12   40.8   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.019_975_364.RMAH -            8.2e-09   29.0   0.1     1e-08   28.7   0.1   1.2   1   0   0   1   1   1   1 -
multidrug__emrE_train_msa -          GMGC10.043_155_950.EMRE -            5.4e-35  114.0   8.9   6.9e-35  113.7   8.9   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.019_805_418.ADCR -            2.1e-10   34.1   1.1   2.6e-10   33.8   0.9   1.3   1   1   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.014_501_477.GPT -            2.4e-76  248.5   0.1   2.6e-76  248.3   0.1   1.0   1   0   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.002_957_775.GPT -            3.1e-76  248.1   0.1   3.5e-76  247.9   0.1   1.0   1   0   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.022_395_490.GPT -            5.3e-76  247.3   0.1   5.8e-76  247.2   0.1   1.0   1   0   0   1   1   1   1 -
aminoglycoside__aac_2___I_train_msa -          GMGC10.019_883_073.YAFP -             0.0012   12.1   0.0    0.0014   11.8   0.0   1.1   1   0   0   1   1   1   1 -
aminoglycoside__streptothricin_acetyltransferase_train_msa -          GMGC10.020_619_476.OCAR_7245 -            2.8e-10   33.6   0.7   5.5e-10   32.6   0.2   1.6   2   0   0   2   2   1   1 -
aminoglycoside__aac_2___I_train_msa -          GMGC10.017_440_472.YAFP -            2.9e-05   17.3   0.0   3.4e-05   17.1   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.019_495_927.SLYA -            1.2e-11   38.2   0.0   1.4e-11   38.0   0.0   1.1   1   0   0   1   1   1   1 -
aminoglycoside__streptothricin_acetyltransferase_train_msa -          GMGC10.029_286_672.UNKNOWN -              2e-08   27.5   0.0   2.4e-08   27.3   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.014_033_903.EMRR -            9.1e-14   45.1   0.9   1.1e-13   44.9   0.9   1.0   1   0   0   1   1   1   1 -
fosmidomycin__rosB_train_msa -          GMGC10.022_451_230.KEFB -            1.2e-11   37.6   5.6   1.5e-11   37.3   5.6   1.0   1   0   0   1   1   1   1 -
multidrug__ykkC_train_msa -          GMGC10.009_078_856.SUGE -            2.6e-23   76.1  11.1   3.4e-23   75.7  11.1   1.2   1   0   0   1   1   1   1 -
multidrug__ykkD_train_msa -          GMGC10.009_078_856.SUGE -            8.3e-20   64.6   7.6     1e-19   64.3   7.6   1.1   1   0   0   1   1   1   1 -
multidrug__ykkC_train_msa -          GMGC10.038_582_572.SUGE -            3.9e-23   75.5  11.0   5.1e-23   75.1  11.0   1.2   1   0   0   1   1   1   1 -
multidrug__ykkD_train_msa -          GMGC10.038_582_572.SUGE -            7.2e-20   64.8   7.9   9.1e-20   64.4   7.9   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.039_723_265.USPR -            6.9e-13   42.2   0.1     9e-13   41.8   0.1   1.1   1   0   0   1   1   1   1 -
aminoglycoside__aac_3__I_train_msa -          GMGC10.029_286_714.UNKNOWN -              2e-10   34.4   0.3   2.5e-10   34.2   0.3   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.046_374_618.UNKNOWN -            1.2e-13   44.7   0.1   1.4e-13   44.4   0.1   1.1   1   0   0   1   1   1   1 -
multidrug__mexT_train_msa -          GMGC10.046_529_133.DSDC -            1.1e-05   18.4   0.0   1.3e-05   18.1   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.037_827_228.UNKNOWN -            2.6e-14   46.8   0.0   3.3e-14   46.5   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.037_825_729.UNKNOWN -            3.6e-12   39.9   0.0   4.2e-12   39.7   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.041_447_298.UNKNOWN -            6.6e-12   39.0   0.1   8.1e-12   38.7   0.1   1.1   1   0   0   1   1   1   1 -
vancomycin__vanZ_train_msa -          GMGC10.043_078_881.VANZ -            2.2e-22   73.5  13.1   6.3e-22   72.0  13.1   1.6   1   1   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.012_263_530.UNKNOWN -            4.7e-23   75.2   0.0   5.3e-23   75.1   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.020_619_473.UNKNOWN -            2.3e-10   34.0   0.0   2.8e-10   33.7   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.015_048_177.RMAH -            3.3e-07   23.8   0.0   4.3e-07   23.4   0.0   1.2   1   0   0   1   1   1   1 -
vancomycin__vanY_train_msa -          GMGC10.046_571_388.UNKNOWN -            0.00049   13.0   0.0   0.00061   12.7   0.0   1.1   1   0   0   1   1   1   1 -
trimethoprim__dfrA12_train_msa -          GMGC10.034_105_239.FOLA -           1.8e-118  385.7   0.3    2e-118  385.5   0.3   1.0   1   0   0   1   1   1   1 -
vancomycin__vanZ_train_msa -          GMGC10.019_978_415.UNKNOWN -            6.5e-05   16.6   0.4   8.7e-05   16.2   0.0   1.4   2   0   0   2   2   1   1 -
multidrug__marR_train_msa -          GMGC10.029_613_731.EMRR -            2.1e-13   43.9   0.4   2.6e-13   43.6   0.4   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.006_387_144.MARR3 -            3.7e-11   36.6   0.4   4.6e-11   36.3   0.4   1.1   1   0   0   1   1   1   1 -
vancomycin__vanZ_train_msa -          GMGC10.029_601_965.VANZ -            9.6e-13   42.1   2.6   1.3e-12   41.7   2.6   1.4   1   1   0   1   1   1   1 -
multidrug__emrE_train_msa -          GMGC10.014_515_172.EMRE -            1.6e-71  232.0   4.6   2.3e-71  231.5   4.6   1.2   1   0   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.044_268_711.GPT -            2.9e-69  225.4   0.1   3.4e-69  225.2   0.1   1.1   1   0   0   1   1   1   1 -
aminoglycoside__streptothricin_acetyltransferase_train_msa -          GMGC10.009_112_064.PAIA -            7.2e-09   29.0   0.0   8.8e-09   28.7   0.0   1.1   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.040_352_124.HPR -            8.5e-10   32.2   0.0   1.1e-09   31.9   0.0   1.2   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.032_844_714.UNKNOWN -            1.4e-07   25.0   0.0   2.2e-07   24.3   0.0   1.3   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.004_161_322.UNKNOWN -            2.8e-09   30.5   0.1   3.9e-09   30.0   0.1   1.2   1   0   0   1   1   1   1 -
vancomycin__vanZ_train_msa -          GMGC10.019_807_853.UNKNOWN -            5.2e-12   39.7  11.3     1e-11   38.8  11.3   1.6   1   1   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.008_831_376.HPT -            2.8e-07   24.1   0.0   3.3e-07   23.9   0.0   1.2   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.015_056_058.UNKNOWN -            2.5e-11   37.2   0.1   2.9e-11   36.9   0.1   1.2   1   0   0   1   1   1   1 -
aminoglycoside__aac_3__I_train_msa -          GMGC10.001_965_233.UNKNOWN -            2.5e-95  310.2   0.1     3e-95  310.0   0.1   1.0   1   0   0   1   1   1   1 -
multidrug__mexT_train_msa -          GMGC10.014_496_841.DSDC -              4e-05   16.5   0.0   5.1e-05   16.2   0.0   1.1   1   0   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.011_994_715.HPT -            8.4e-06   19.3   0.0   9.8e-06   19.1   0.0   1.2   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.012_879_153.UNKNOWN -            9.3e-08   25.5   0.0   1.4e-07   25.0   0.0   1.2   1   0   0   1   1   1   1 -
aminoglycoside__streptothricin_acetyltransferase_train_msa -          GMGC10.027_304_274.RIMI -            3.1e-09   30.2   0.0   4.3e-09   29.7   0.0   1.2   1   0   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.028_242_094.HPT -            1.8e-06   21.5   0.0   2.2e-06   21.2   0.0   1.1   1   0   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.044_881_012.HPT -            2.1e-06   21.3   0.0   2.5e-06   21.0   0.0   1.2   1   0   0   1   1   1   1 -
multidrug__marR_train_msa -          GMGC10.011_796_467.SP_1863 -            2.8e-17   56.5   0.0   3.6e-17   56.1   0.0   1.2   1   0   0   1   1   1   1 -
vancomycin__vanZ_train_msa -          GMGC10.008_397_682.VANZ -            1.6e-24   80.5  10.7     2e-24   80.1  10.7   1.1   1   0   0   1   1   1   1 -
polymyxin__arnA_train_msa -          GMGC10.008_216_901.PURN -            5.5e-05   15.0   0.0   6.4e-05   14.8   0.0   1.1   1   0   0   1   1   1   1 -
tetracycline__tet34_train_msa -          GMGC10.017_533_119.HPT -            8.6e-06   19.3   0.0     1e-05   19.0   0.0   1.2   1   0   0   1   1   1   1 -
polymyxin__arnA_train_msa -          GMGC10.029_726_268.PURN -             0.0001   14.1   0.0   0.00012   14.0   0.0   1.1   1   0   0   1   1   1   1 -
aminoglycoside__streptothricin_acetyltransferase_train_msa -          GMGC10.011_810_816.UNKNOWN -            2.2e-13   43.7   0.0   2.7e-13   43.4   0.0   1.1   1   0   0   1   1   1   1 -
aminoglycoside__aac_3__I_train_msa                         -          GMGC10.011_810_816.UNKNOWN -              5e-09   29.9   0.6   9.3e-09   29.0   0.5   1.5   1   1   0   1   1   1   1 -
