	Original ID	ARO Replacement	Gene Name in CARD
0	gi:488155873:ref:WP_002227081.1:|FEATURES|mtrR|multidrug|mtrR	3000817	mtrR
1	AAP46622|FEATURES|penA|beta-lactam|penA	3004832 	penA
2	gi:504416866:ref:WP_014603968.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
3	AM180355.1.gene2260.p01|FEATURES|ermC|MLS|ermC	3000250	ermC
4	gi:730321347:ref:WP_033984356.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
5	AAP46605|FEATURES|penA|beta-lactam|penA	3004832 	penA
6	gi:959901593:ref:WP_058168023.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
7	gi:504395108:ref:WP_014582210.1:|FEATURES|mtrR|multidrug|mtrR	3000817	mtrR
8	gi:32345908:gb:AAM97248.1:|FEATURES|penA|beta-lactam|penA	3004832 	penA
9	gi:553798151:ref:WP_023128666.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
10	gi:490841007:ref:WP_004703082.1:|FEATURES|mexT|multidrug|mexT	3000814	mexT
11	gi:759851378:ref:WP_043542908.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
12	gi:3646369:emb:CAA07694.1:|FEATURES|mexT|multidrug|mexT	3000814	mexT
13	BAD67448|FEATURES|PBP-2X|beta-lactam|PBP-2X	3003938 	PBP-2X
14	gi:1004170898:gb:AMP19673.1:|FEATURES|mtrR|multidrug|mtrR	3000817	mtrR
15	gi:730397869:ref:WP_034006484.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
16	gi:959846504:ref:WP_058132686.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
17	gi:959897454:ref:WP_058165306.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
18	gi:759433858:ref:WP_043156446.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
19	gi:730515606:ref:WP_034033846.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
20	AAP46590|FEATURES|penA|beta-lactam|penA	3004832 	penA
21	gi:554679166:ref:WP_023180168.1:|FEATURES|fmtC|beta-lactam|fmtC	fmtC	fmtC
22	gi:553797237:ref:WP_023127796.1:|FEATURES|tetR|tetracycline|tetR	3003479	tetR
