	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_sequence_id	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
0	GMGC10.95nr_block_0008	Aminoglycoside	"Aminoglycoside N(6')-acetyltransferase type 1""|KJ512956.1|manure|KAN"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	89.02	GMGC10.044_839_278.AACA7			1	428					+		98.39								
1	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.88	GMGC10.002_407_680.FOLA			1	473					+		80.03								
2	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX127122.1|newborn_gut|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	88.33	GMGC10.004_416_878.FOLA			1	480					+		100.0								
3	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126573.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.17	GMGC10.004_548_381.FOLA			1	480					+		81.22								
4	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.29	GMGC10.004_788_123.FOLA			1	476					+		80.54								
5	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.08	GMGC10.005_877_185.FOLA			1	480					+		81.22								
6	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KF791059.1|retail host|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	99.79	GMGC10.006_426_390.FOLA			1	483					+		93.6								
7	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126573.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.58	GMGC10.006_771_337.FOLA			1	480					+		81.22								
8	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126573.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.75	GMGC10.007_576_056.FOLA			1	480					+		81.22								
9	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.42	GMGC10.008_794_020.FOLA			1	480					+		81.22								
10	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KF791059.1|retail host|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	81.16	GMGC10.009_363_496.FOLA			1	483					+		93.6								
11	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.38	GMGC10.009_413_786.FOLA			1	480					+		81.22								
12	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.5	GMGC10.009_552_232.FOLA			1	480					+		81.22								
13	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126573.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	83.12	GMGC10.014_288_997.FOLA			1	480					+		81.22								
14	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.35	GMGC10.014_866_722.FOLA			1	476					+		80.54								
15	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694101.1|grassland soil|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.21	GMGC10.015_541_329.FOLA			1	489					+		100.0								
16	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX125394.1|newborn_gut|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	90.62	GMGC10.017_172_302.FOLA			1	480					+		98.16								
17	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126573.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	82.29	GMGC10.017_978_543.FOLA			1	480					+		81.22								
18	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KJ694763.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	85.6	GMGC10.018_067_564.FOLA			1	486					+		100.0								
19	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126573.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.79	GMGC10.018_353_060.FOLA			1	480					+		81.22								
20	GMGC10.95nr_block_0009	Aminoglycoside	"Aminoglycoside N(6')-acetyltransferase type 1""|KC520487.1|Active layer soil from the Arctic|SIS"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	84.41	GMGC10.018_887_303.AACA7			1	449					+		97.19								
21	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694101.1|grassland soil|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.24	GMGC10.018_908_306.FOLA			1	489					+		99.59								
22	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	81.04	GMGC10.019_677_500.FOLA			1	480					+		81.22								
23	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase""|KF791059.1|retail host|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	81.57	GMGC10.020_269_297.FOLA			1	483					+		93.6								
24	GMGC10.95nr_block_0009	Dihydrofolate	"Dihydrofolate reductase type 3""|KJ694621.1|grassland soil|TMP"	resfinderfg	2021-Oct-18		abricate	abricate 1.0.1	80.98	GMGC10.020_708_827.FOLA			7	474					+		96.3								
