	input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism	ARO	CONFERS RESISTANCE TO IMMEDIATE DRUG CLASS	OVERALL CATEGORY OF DRUG CLASS
0	GMGC10.021_717_915.UNKNOWN	GMGC10.95nr_block_0000	ARMR	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ARMR	megares	2021-Mar-27	MEG_1121	abricate	abricate 1.0.1	88.27			1	162					+		100.0									ARO:3004056	[]	[]
1	GMGC10.025_807_996.UNKNOWN	GMGC10.95nr_block_0001	CRPP	Drugs:Fluoroquinolones:Fluoroquinolone_resistance_phosphotransferase:CRPP	megares	2021-Mar-27	MEG_2133	abricate	abricate 1.0.1	94.44			13	210					+		100.0									ARO:3002702	[('ARO:3000385', 'chloramphenicol')]	['phenicol antibiotic']
2	GMGC10.011_421_809.UNKNOWN	GMGC10.95nr_block_0002	CRPP	Drugs:Fluoroquinolones:Fluoroquinolone_resistance_phosphotransferase:CRPP	megares	2021-Mar-27	MEG_2133	abricate	abricate 1.0.1	98.99			49	246					+		100.0									ARO:3002702	[('ARO:3000385', 'chloramphenicol')]	['phenicol antibiotic']
3	GMGC10.013_153_847.UNKNOWN	GMGC10.95nr_block_0002	VAN	Drugs:Glycopeptides:VanA-type_resistance_protein:VAN	megares	2021-Mar-27	MEG_7334	abricate	abricate 1.0.1	100.0			1	228					+		100.0									ARO:3004253	[]	[]
4	GMGC10.016_690_720.UNKNOWN	GMGC10.95nr_block_0002	DFRB	Drugs:Trimethoprim:Dihydrofolate_reductase:DFRB	megares	2021-Mar-27	MEG_2566	abricate	abricate 1.0.1	100.0			1	237					+		100.0									ARO:3003022	[('ARO:3000188', 'trimethoprim')]	['diaminopyrimidine antibiotic']
5	GMGC10.026_804_036.UNKNOWN	GMGC10.95nr_block_0002	DFRB	Drugs:Trimethoprim:Dihydrofolate_reductase:DFRB	megares	2021-Mar-27	MEG_2563	abricate	abricate 1.0.1	100.0			1	237					+		100.0									ARO:3004549	[('ARO:3000188', 'trimethoprim')]	['diaminopyrimidine antibiotic']
6	GMGC10.044_316_970.UNKNOWN	GMGC10.95nr_block_0002	DFRB	Drugs:Trimethoprim:Dihydrofolate_reductase:DFRB	megares	2021-Mar-27	MEG_2566	abricate	abricate 1.0.1	85.78			15	232					+		91.98									ARO:3003022	[('ARO:3000188', 'trimethoprim')]	['diaminopyrimidine antibiotic']
7	GMGC10.046_578_884.UNKNOWN	GMGC10.95nr_block_0002	DFRB	Drugs:Trimethoprim:Dihydrofolate_reductase:DFRB	megares	2021-Mar-27	MEG_2569	abricate	abricate 1.0.1	100.0			1	237					+		100.0									ARO:3004498	[('ARO:3000188', 'trimethoprim')]	['diaminopyrimidine antibiotic']
8	GMGC10.004_317_180.SUGE	GMGC10.95nr_block_0004	SMR	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_SMR_efflux_pumps:SMR	megares	2021-Mar-27	MEG_6534	abricate	abricate 1.0.1	98.74			1	318					+		100.0									ARO:3003063	[]	[]
9	GMGC10.006_663_695.YKKD	GMGC10.95nr_block_0004	YKKC	Multi-compound:Drug_and_biocide_and_metal_resistance:Drug_and_biocide_and_metal_SMR_efflux_pump:YKKC	megares	2021-Mar-27	MEG_7839	abricate	abricate 1.0.1	81.55			10	318					+		97.17									ARO:3003064	[]	[]
