#ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts
VANU	1	67	ExDog1_167862	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9927080391067162	50.7	67	77.4	2.94e-21	1
VANU	1	67	ExDog1_325079	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9868508225400342	52.2	67	69.3	4.28e-18	1
BCRA	2	309	ExDog1_175936	bacitracin	gi:445996709:ref:WP_000074564.1:|FEATURES|bcrA|bacitracin|bcrA	0.9998620397306134	52.6	308	323	9.81e-111	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog1_330013	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9989690067157495	56.9	288	360	3.38e-126	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_154345	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9987532848432439	55.1	287	352	2.33e-123	1
EFRA	2	469	ExDog1_302140	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.8911468465327786	55.1	468	474	3.33e-164	1
OPRM	10	465	ExDog1_387924	multidrug	NC_008702.1.4606278.p01|FEATURES|oprM|multidrug|oprM	0.8720877738541158	50.7	456	416	8.82e-143	1
PORIN_OMPC	1	322	ExDog1_292626	beta-lactam	APB87301|FEATURES|porin_OmpC|beta-lactam|porin_OmpC	0.9031247029781053	98.4	322	643	2.52e-236	1
TET(40)	1	406	ExDog1_244738	tetracycline	AFK31666.1|FEATURES|tet(40)|tetracycline|tet(40)	0.9994233597032094	100	406	756	5.25e-279	1
VANRI	4	232	ExDog1_267046	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999856445399328	59.8	229	291	3.55e-101	1
BACA	54	273	ExDog1_137798	bacitracin	A8A4L2|FEATURES|bacA|bacitracin|bacA	0.997994191741787	100	220	427	2.92e-154	1
VANR	5	235	ExDog1_308781	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999690616561792	55.8	231	263	1.38e-89	1
CAMP-REGULATORY_PROTEIN	1	210	ExDog1_235185	unclassified	gi:446164900:ref:WP_000242755.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.9954203937872305	100	210	418	6.46e-152	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_77358	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994896139484771	62.0	287	394	1.16e-139	1
DNA-BINDING_PROTEIN_H-NS	5	135	ExDog1_38063	unclassified	CP001918.1.gene1661.p01|FEATURES|DNA-binding_protein_H-NS|unclassified|DNA-binding_protein_H-NS	0.9922208153601767	55.0	131	131	9.79e-41	1
ACRB	2	1036	ExDog1_387925	multidrug	gi:495735716:ref:WP_008460295.1:|FEATURES|acrB|multidrug|acrB	0.8476833429275172	57.3	1039	1127	0.0	1
RPOB2	20	1135	ExDog1_213166	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.993813895670035	52.4	1259	1192	0.0	1
UGD	80	388	ExDog1_127390	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8586759823483461	56.7	360	386	4.77e-134	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	80	ExDog1_161601	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8170340890129424	50.0	80	78.2	2.14e-19	1
EFRA	2	469	ExDog1_184259	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.9079488765665902	56.7	469	504	1.42e-175	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	81	ExDog1_217733	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9019910074191773	63.5	74	94.0	2.33e-27	1
CAMP-REGULATORY_PROTEIN	5	210	ExDog1_300897	unclassified	gi:490367208:ref:WP_004246872.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.9932004646664409	78.0	209	333	3.24e-118	1
