Original ID	Gene Name in CARD	ARO	Cut_Off	Database
card~~~AAC(2')-IIa~~~AB669090.1:12438-13221~~~aminoglycoside AAC(2')-IIa is a kasugamycin 2' N-acetyltransferase protein found in Burkholderia glumae and Acidovorax avenae isolates	AAC(2')-IIa	3004628	Perfect	abricate_card
card~~~AAC(2')-IIb~~~KX531051.1:0-723~~~aminoglycoside AAC(2')-IIb is an intrinsic Kasugamycin 2' acetyltransferase protein found in Paenibacillus sp. LC231, a strain of Paenibacillus isolated from Lechuguilla Cave, NM, USA. Confers resistance to aminoglycoside antibiotics, including kasugamycin. Described by Pawlowski et al. 2016	AAC(2')-IIb	3003988	Perfect	abricate_card
card~~~AAC(2')-Ia~~~L06156:263-800~~~aminoglycoside AAC(2')-Ia is a chromosomal-encoded aminoglycoside acetyltransferase in P. stuartii	AAC(2')-Ia	3002523	Perfect	abricate_card
card~~~AAC(2')-Ib~~~U41471:264-852~~~aminoglycoside AAC(2')-Ib is a chromosomal-encoded aminoglycoside acetyltransferase in Mycolicibacterium fortuitum and A. baumannii	AAC(2')-Ib	3002524	Strict	abricate_card
card~~~AAC(2')-Ic~~~AL123456.3:314854-314308~~~aminoglycoside AAC(2')-Ic is a chromosomal-encoded aminoglycoside acetyltransferase in M. tuberculosis and Mycobacterium tuberculosis variant bovis	AAC(2')-Ic	3002525	Strict	abricate_card
card~~~AAC(2')-Id~~~U72743:385-1018~~~aminoglycoside AAC(2')-Id is a chromosomal-encoded aminoglycoside acetyltransferase in Mycolicibacterium smegmatis	AAC(2')-Id	3002526	Strict	abricate_card
card~~~AAC(2')-Ie~~~AL583926.1:40191-40740~~~aminoglycoside AAC(2')-Ie is a chromosomal-encoded aminoglycoside acetyltransferase in M. leprae	AAC(2')-Ie	3002527	Perfect	abricate_card
card~~~AAC(3)-IIIa~~~X55652:1123-1939~~~aminoglycoside AAC(3)-IIIa is a chromosomal-encoded aminoglycoside acetyltransferase in P. aeruginosa	AAC(3)-IIIa	3002536	Perfect	abricate_card
card~~~AAC(3)-IIIb~~~LLLC01000048.1:1171-352~~~aminoglycoside AAC(3)-IIIb is an aminoglycoside acetyltransferase in P. aeruginosa	AAC(3)-IIIb	3002537	Perfect	abricate_card
card~~~AAC(3)-IIIc~~~L06161:105-945~~~aminoglycoside AAC(3)-IIIc is an aminoglycoside acetyltransferase in P. aeruginosa	AAC(3)-IIIc	3002538	Perfect	abricate_card
card~~~AAC(3)-IIa~~~X13543.1:185-1046~~~aminoglycoside AAC(3)-IIa is a plasmid-encoded aminoglycoside acetyltransferase in K. pneumoniae, E. cloacae, Actinobacillus pleuropneumoniae, S. typhimurium, Citrobacter freundii, and P. aeruginosa	AAC(3)-IIa	3002533	Perfect	abricate_card
card~~~AAC(3)-IIb~~~M97172:655-1465~~~aminoglycoside AAC(3)-IIb is an aminoglycoside acetyltransferase in E. coli, A. faecalis and S. marcescens	AAC(3)-IIb	3002534	Perfect	abricate_card
card~~~AAC(3)-IIc~~~X54723:818-1679~~~aminoglycoside AAC(3)-IIc is a plasmid-encoded aminoglycoside acetyltransferase in E. coli and P. aeruginosa	AAC(3)-IIc	3002535	Perfect	abricate_card
card~~~AAC(3)-IId~~~EU022314.1:0-861~~~aminoglycoside AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli	AAC(3)-IId	3004623	Perfect	abricate_card
card~~~AAC(3)-IIe~~~EU022315.1:0-861~~~aminoglycoside AAC(3)-IIe is a plasmid-encoded aminoglycoside acetyltransferase in E. coli	AAC(3)-IIe	3004621	Perfect	abricate_card
