	Unnamed: 0	Original ID	Gene Name in CARD	ARO	Database
0	0	gi:782714339:ref:WP_045616254.1:|FEATURES|macA|MLS|macA	macA	3000533.0	deeparg
1	1	gi:738272573:ref:WP_036227195.1:|FEATURES|lsa|MLS|lsa	lsaB	3003111.0	deeparg
2	2	NC_010558.1.6276004.p01|FEATURES|catA|phenicol|catA	catI	3002683.0	deeparg
3	3	gi:857775740:emb:CRL64671.1:|FEATURES|mdtK|multidrug|mdtK	hmrM	3003953.0	deeparg
4	4	gi:896016302:ref:WP_049079560.1:|FEATURES|macA|MLS|macA	macA	3000533.0	deeparg
5	5	AAD41881|FEATURES|vanD|glycopeptide|vanD	vanH gene in vanD cluster	3002944.0	deeparg
6	6	gi:446783030:ref:WP_000860286.1:|FEATURES|arnA|polymyxin|arnA	arnA	3002985.0	deeparg
7	7	gi:746541139:ref:WP_039573465.1:|FEATURES|mexC|multidrug|mexC	adeA	3000774.0	deeparg
8	8	gi:812045371:emb:CRH28493.1:|FEATURES|acrB|multidrug|acrB	acrB	3000216.0	deeparg
9	9	gi:488426786:ref:WP_002496171.1:|FEATURES|norA|multidrug|norA	norA	3000391.0	deeparg
10	10	gi:895895864:ref:WP_048997630.1:|FEATURES|macB|MLS|macB	macB	3000535.0	deeparg
11	11	AAK08976|FEATURES|class_A|beta-lactam|class_A	KLUC-1	3006927.0	deeparg
12	12	gi:315940009:gb:ADU56215.1:|FEATURES|CTX-M-14|beta-lactam|CTX-M	CTX-M-14	3001877.0	deeparg
13	13	ZP_04115750|FEATURES|class_A|beta-lactam|class_A	BcII	3002878.0	deeparg
14	14	M11587.1.gene1.p1|FEATURES|catA|phenicol|catA	catA4	3004657.0	deeparg
15	15	gi:746192777:ref:WP_039250898.1:|FEATURES|mexE|multidrug|mexE	adeG	3000778.0	deeparg
16	16	AY355285.1.gene3.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	Enterococcus faecium chloramphenicol acetyltransferase	3004456.0	deeparg
17	17	YP_001476958|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	ErmC	3000250.0	deeparg
