# argNorm version: 0.6.0
input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	Cut_Off	confers_resistance_to	resistance_to_drug_classes
groot.card.tsv	Mef(En2)	Mef(En2).3004659.AF251288	groot	v	Mef(En2).3004659.AF251288.1.794-2000.5539	groot	v	gene_presence_detected			135.0																1206									ARO:3004659	Perfect	ARO:0000000,ARO:0000046	ARO:0000000,ARO:0000017
groot.card.tsv	rrsB	rrsB.3003410.U00096	groot	v	rrsB.3003410.U00096.4166659-4168200.3242	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	rrsB	rrsB.3003396.U00096	groot	v	rrsB.3003396.U00096.4166659-4168200.3233	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	Escherichia_coli_16S	Escherichia_coli_16S.3003223.U00096	groot	v	Escherichia_coli_16S.3003223.U00096.4166659-4168200.3234	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	ErmB	ErmB.3000375.AF242872	groot	v	ErmB.3000375.AF242872.1.2131-2878.5430	groot	v	gene_presence_detected			194.0																747									ARO:3000375	Perfect	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
groot.card.tsv	rrnB	rrnB.3003411.U00096	groot	v	rrnB.3003411.U00096.4166659-4168200.3236	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	rrsB	rrsB.3003402.U00096	groot	v	rrsB.3003402.U00096.4166659-4168200.3235	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	rrnB	rrnB.3003406.U00096	groot	v	rrnB.3003406.U00096.4166659-4168200.3237	groot	v	gene_presence_detected			95.0																1542												
groot.card.tsv	tet(40)	tet(40).3000567.AM419751	groot	v	tet(40).3000567.AM419751.14210-15431.5150	groot	v	gene_presence_detected			315.0																1221									ARO:3000567	Perfect	ARO:0000051	ARO:3000050
groot.card.tsv	aadS	aadS.3004683.M72415	groot	v	aadS.3004683.M72415.1.1120-1984.5568	groot	v	gene_presence_detected			199.0																864									ARO:3004683	Perfect	ARO:0000040	ARO:0000016
