Original ID	Gene Name in CARD	ARO	Database
gb|CAA78046.1|ARO:3002701|Rfas_cmr	Rhodococcus fascians cmr	3002701	sarg
gb|BAP18874.1|ARO:3003167|CTX-M-159	CTX-M-159	3003167	sarg
gb|AWU66462.1|ARO:3004866|NDM-23	NDM-23	3004866	sarg
gb|CEP30258.1|ARO:3002458|LEN-8	LEN-8	3002458	sarg
gb|ACV49885.1|ARO:3001442|OXA-117	OXA-117	3001442	sarg
gb|AWU66463.1|ARO:3004867|NDM-24	NDM-24	3004867	sarg
gb|ACL13298.1|ARO:3003110|catB10	catB10	3003110	sarg
gb|AYF56302.1|ARO:3004868|NDM-25	NDM-25	3004868	sarg
gb|ADC58623.1|ARO:3002463|LEN-13	LEN-13	3002463	sarg
gb|AGY30828.1|ARO:3003018|dfrA22	dfrA22	3003018	sarg
gb|WP_071846215.1|ARO:3002547|AAC(6')-Ib-cr1	AAC(6')-Ib-cr1	3002547	sarg
gb|CTQ11867.1|ARO:3002457|LEN-7	LEN-7	3002457	sarg
gb|SAU22663.1|ARO:3002461|LEN-11	LEN-11	3002461	sarg
gb|WP_045331818.1|ARO:3006236|ACT-41	ACT-41	3006236	sarg
gb|WP_040117106.1|ARO:3006237|ACT-42	ACT-42	3006237	sarg
gb|WP_094009806.1|ARO:3005278|PDC-118	PDC-118	3005278	sarg
gb|WP_136512057.1|ARO:3006357|ADC-188	ADC-188	3006357	sarg
gb|WP_024436624.1|ARO:3006330|ADC-156	ADC-156	3006330	sarg
gb|WP_150823491.1|ARO:3005283|PDC-384	PDC-384	3005283	sarg
gb|AAD08227.1|ARO:3003964|hp1181	hp1181	3003964	sarg
gb|WP_136512058.1|ARO:3006358|ADC-189	ADC-189	3006358	sarg
gb|WP_015572455.1|ARO:3006238|ACT-43	ACT-43	3006238	sarg
gb|SOX29786.1|ARO:3004730|tva(A)	tva(A)	3004730	sarg
gb|ANZ90381.1|ARO:3004798|FRI-2	FRI-2	3004798	sarg
gb|AYP70146.1|ARO:3004870|NDM-27	NDM-27	3004870	sarg
gb|WP_088245227.1|ARO:3006331|ADC-157	ADC-157	3006331	sarg
gb|QAT97614.1|ARO:3004871|NDM-28	NDM-28	3004871	sarg
gb|WP_136512059.1|ARO:3006359|ADC-190	ADC-190	3006359	sarg
gb|WP_001211227.1|ARO:3006332|ADC-158	ADC-158	3006332	sarg
gb|WP_032037870.1|ARO:3006333|ADC-160	ADC-160	3006333	sarg
gb|WP_003112187.1|ARO:3006360|ADC-191	ADC-191	3006360	sarg
gb|WP_045340466.1|ARO:3006239|ACT-44	ACT-44	3006239	sarg
gb|WP_136512060.1|ARO:3006361|ADC-192	ADC-192	3006361	sarg
gb|WP_013197184.1|ARO:3006362|ADC-193	ADC-193	3006362	sarg
gb|WP_031980335.1|ARO:3006334|ADC-162	ADC-162	3006334	sarg
gb|WP_150823482.1|ARO:3005279|PDC-324	PDC-324	3005279	sarg
gb|WP_040184286.1|ARO:3004337|PDC-74	PDC-74	3004337	sarg
gb|ANJ78206.1|ARO:3004343|PDC-80	PDC-80	3004343	sarg
gb|KSN86152.1|ARO:3004349|PDC-86	PDC-86	3004349	sarg
gb|WP_133972424.1|ARO:3006363|ADC-194	ADC-194	3006363	sarg
gb|WP_150823481.1|ARO:3005280|PDC-323	PDC-323	3005280	sarg
gb|WP_057093064.1|ARO:3006335|ADC-163	ADC-163	3006335	sarg
gb|WP_032068214.1|ARO:3006336|ADC-164	ADC-164	3006336	sarg
gb|WP_109791192.1|ARO:3005281|PDC-258	PDC-258	3005281	sarg
gb|AVR61040.1|ARO:3004854|CMY-136	CMY-136	3004854	sarg
gb|AKZ20823.1|ARO:3003664|NDM-16	NDM-16a	3003664	sarg
gb|WP_104009855.1|ARO:3005262|TEM-231	TEM-231	3005262	sarg
gb|WP_109545059.1|ARO:3005263|TEM-232	TEM-232	3005263	sarg
gb|ABY55281.1|ARO:3004498|dfrB4	dfrB4	3004498	sarg
gb|WP_179284377.1|ARO:3005275|PDC-438	PDC-438	3005275	sarg
gb|ATJ25942.1|ARO:3004864|NDM-21	NDM-21	3004864	sarg
gb|WP_111672897.1|ARO:3005276|PDC-284	PDC-284	3005276	sarg
gb|WP_001211239.1|ARO:3006337|ADC-165	ADC-165	3006337	sarg
gb|WP_063857778.1|ARO:3001854|ACT-34	ACT-34	3001854	sarg
gb|WP_109791184.1|ARO:3005264|TEM-233	TEM-233	3005264	sarg
gb|WP_140423305.1|ARO:3006364|ADC-195	ADC-195	3006364	sarg
gb|WP_101244937.1|ARO:3006338|ADC-166	ADC-166	3006338	sarg
gb|WP_145850033.1|ARO:3006365|ADC-196	ADC-196	3006365	sarg
gb|WP_085562406.1|ARO:3005258|TEM-227	TEM-227	3005258	sarg
gb|WP_063857782.1|ARO:3006234|ACT-39	ACT-39	3006234	sarg
gb|AWI33311.1|ARO:3004865|NDM-22	NDM-22	3004865	sarg
gb|WP_000027060.1|ARO:3001044|TEM-181	TEM-181	3001044	sarg
gb|AEH26330.1|ARO:3005009|qacE	qacE	3005009	sarg
gb|AAC44316.1|ARO:3005010|qacEdelta1	qacEdelta1	3005010	sarg
gb|QIB98918.1|ARO:3005012|IDC-1	IDC-1	3005012	sarg
gb|QIB98910.1|ARO:3005013|IDC-2	IDC-2	3005013	sarg
gb|QGQ32905.1|ARO:3005015|VMB-1	VMB-1	3005015	sarg
gb|CAF29483.1|ARO:3002653|APH(3')-VIb	APH(3')-VIb	3002653	sarg
gb|PUU64961.1|ARO:3005016|CMY-150	CMY-150	3005016	sarg
gb|AYD68552.1|ARO:3005018|LMB-1	LMB-1	3005018	sarg
gb|ASU31903.1|ARO:3005019|IMP-68	IMP-68	3005019	sarg
gb|QHR93773.1|ARO:3005024|FosL1	FosL1	3005024	sarg
gb|AWA42532.1|ARO:3005028|FRI-5	FRI-5	3005028	sarg
gb|AZK35806.1|ARO:3005029|FRI-6	FRI-6	3005029	sarg
gb|BBI97867.1|ARO:3005030|FRI-7	FRI-7	3005030	sarg
gb|BBJ69931.1|ARO:3005031|FRI-8	FRI-8	3005031	sarg
gb|BBJ65425.1|ARO:3005032|FRI-9	FRI-9	3005032	sarg
gb|ATX60370.1|ARO:3005033|FLC-1	FLC-1	3005033	sarg
gb|AKO63213.1|ARO:3003646|CTX-M-162	CTX-M-162	3003646	sarg
gb|AKO63214.1|ARO:3003647|CTX-M-163	CTX-M-163	3003647	sarg
gb|AKR53959.1|ARO:3003648|CTX-M-164	CTX-M-164	3003648	sarg
gb|AKR53960.1|ARO:3003649|CTX-M-165	CTX-M-165	3003649	sarg
gb|CFW94147.1|ARO:3003650|CTX-M-166	CTX-M-166	3003650	sarg
gb|ABA70720.1|ARO:3005035|Yrc-1	Yrc-1	3005035	sarg
gb|ATP60652.1|ARO:3005037|ADC-159	ADC-159	3005037	sarg
gb|AIG20002.1|ARO:3005038|PDC-65	PDC-65	3005038	sarg
gb|AIG19992.1|ARO:3005039|PDC-55	PDC-55	3005039	sarg
gb|WP_150823452.1|ARO:3006366|ADC-197	ADC-197	3006366	sarg
gb|AAP26981.1|ARO:3005045|SatA	SatA	3005045	sarg
gb|BAF34030.1|ARO:3005036|BLMT	BLMT	3005036	sarg
gb|CCI79240.1|ARO:3005047|eptB	eptB	3005047	sarg
gb|OOS23853.1|ARO:3005073|ROB-3	ROB-3	3005073	sarg
gb|CCN31428.1|ARO:3005049|CrcB	CrcB	3005049	sarg
gb|CDO12042.1|ARO:3005053|ArnT	ArnT	3005053	sarg
gb|QEE23059.1|ARO:3005060|OXA-837	OXA-837	3005060	sarg
gb|QEQ43476.1|ARO:3005061|AAC(3)-IVb	AAC(3)-IVb	3005061	sarg
gb|QEQ43477.1|ARO:3005062|ANT(3'')-Ib	ANT(3'')-Ib	3005062	sarg
gb|AAG05187.1|ARO:3005067|ParS	ParS	3005067	sarg
gb|OOS22656.1|ARO:3005074|ROB-4	ROB-4	3005074	sarg
gb|PNP96721.1|ARO:3005075|ROB-5	ROB-5	3005075	sarg
gb|AIW80558.1|ARO:3005076|ROB-6	ROB-6	3005076	sarg
gb|AIW80572.1|ARO:3005077|ROB-7	ROB-7	3005077	sarg
gb|AIW80573.1|ARO:3005078|ROB-8	ROB-8	3005078	sarg
gb|MWQ02887.1|ARO:3005080|ROB-10	ROB-10	3005080	sarg
gb|BAD88719.1|ARO:3005084|dfrA31	dfrA31	3005084	sarg
gb|QKT21444.1|ARO:3005085|AAC(3)-IIg	AAC(3)-IIg	3005085	sarg
gb|WP_150378267.1|ARO:3005057|tet(X5)	tet(X5)	3005057	sarg
gb|AWU47610.1|ARO:3005079|ROB-2	ROB-2	3005079	sarg
gb|QHW12375.1|ARO:3005087|msrF	msrF	3005087	sarg
gb|ADZ12700.1|ARO:3005090|RanB	RanB	3005090	sarg
gb|ADZ12699.1|ARO:3005091|RanA	RanA	3005091	sarg
gb|QHT72949.1|ARO:3005093|OXA-899	OXA-899	3005093	sarg
gb|QHT72948.1|ARO:3005094|OXA-898	OXA-898	3005094	sarg
gb|AWB15813.1|ARO:3005096|GPC-1	GPC-1	3005096	sarg
gb|CAA76544.1|ARO:3003836|qacH	qacH	3003836	sarg
gb|AIG20000.1|ARO:3005124|PDC-63	PDC-63	3005124	sarg
gb|AIG19994.1|ARO:3005125|PDC-57	PDC-57	3005125	sarg
gb|AAP97895.1|ARO:3005111|blaS1	blaS1	3005111	sarg
gb|ADY02579.1|ARO:3005112|AAC(6')-Ib-cr3	AAC(6')-Ib-cr3	3005112	sarg
