Original ID	Gene Name in CARD	ARO	Database
((Col)mcr-5.2:MG384740:1-1641:1641	MCR-5.2	3004698	argannot
(AGly)AAC(6')-Isa:NG_047311:101-574:474	AAC(6')-Isa	3002563	argannot
(AGly)aac(2')-IIa_Bg:NG_047225:101-883:783	AAC(2')-IIa	3004628	argannot
(AGly)aac(2')-IIb:NG_055672:1-723:723	AAC(2')-IIb	3003988	argannot
(AGly)aac(2')-Id:U72743:386-1018:533	AAC(2')-Id	3002526	argannot
(AGly)aac(3)-IIIb:L06160:984-1721:861	AAC(3)-IIIb	3002537	argannot
(AGly)aac(3)-IIIc:L06161:106-945:861	AAC(3)-IIIc	3002538	argannot
(AGly)aac(6')-Ia:NG_052294:WP_051208285:101-703:603	AAC(6')-Iq	3002560	argannot
(AGly)aac(6')-Iae:AB104852:1935-2486:552	AAC(6')-Iae	3002573	argannot
(AGly)aac(6')-Ian:NG_052170:101-673:573	AAC(6')-Ian	3003200	argannot
(AGly)aac(6')-Iz:NG_052343:1-462:462	AAC(6')-Iz	3002570	argannot
(AGly)aac(6'):NG_052413:101-583:483	AAC(6')-Isa	3002563	argannot
(AGly)aac-IIIa:X55652:1124-1939:816	AAC(3)-IIIa	3002536	argannot
(AGly)aac-IVa:X01385:244-1029:786	AAC(3)-IVa	3002539	argannot
(AGly)aac2-Ia:L06156:264-800:537	AAC(2')-Ia	3002523	argannot
(AGly)aac2-Ib:U41471:266-822:588	AAC(2')-Ib	3002524	argannot
(AGly)aac2-Ic:U72714:373-918:546	AAC(2')-Ic	3002525	argannot
(AGly)aac2-Ie:NC_011896:3039059-3039607:549	AAC(2')-Ie	3002527	argannot
(AGly)aac3-I:AJ877225:5293-5757:465	AAC(3)-Ia	3002528	argannot
(AGly)aac3-I:X15852:1250-1783:534	AAC(3)-Ia	3002528	argannot
(AGly)aac3-IIa:X51534:91-951:861	AAC(3)-IIe	3004621	argannot
(AGly)aac3-IIc:X54723:819-1679:861	AAC(3)-IIc	3002535	argannot
(AGly)aac3-IId:EU022314:1-861:861	AAC(3)-IId	3004623	argannot
(AGly)aac3-IIe:EU022315:1-861:861	AAC(3)-IIe	3004621	argannot
(AGly)aac3-IXa:M55427:274-1119:846	AAC(3)-IXa	3002543	argannot
(AGly)aac3-Ib-Aac6-Ib:AF355189:1435-2439:1005	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	3002600	argannot
(AGly)aac3-Ib:L06157:555-1085:531	AAC(3)-Ib	3002530	argannot
(AGly)aac3-Ic:AJ511268:1295-1765:471	AAC(3)-Ic	3002531	argannot
(AGly)aac3-Id:AB114632:104-580:477	AAC(3)-Id	3002529	argannot
(AGly)aac3-If:AY884051:61-525:468	AAC(3)-Ib	3002530	argannot
(AGly)aac3-Ig:CP000282:2333620-2334096:477	AAC(3)-Id	3002529	argannot
(AGly)aac3-Ih:CP000490:509912-510370:459	AAC(3)-Id	3002529	argannot
(AGly)aac3-Ii:CP000356:638262-638720:459	AAC(3)-Ib	3002530	argannot
(AGly)aac3-VII:M22999:493-1359:867	AAC(3)-VIIa	3002541	argannot
(AGly)aac3-VIa:M88012:193-1092:900	AAC(3)-VIa	3002540	argannot
(AGly)aac3-Vb:M97172:656-1465:810	AAC(3)-IIb	3002534	argannot
(AGly)aac3-Xa:AB028210:2711-3565:855	AAC(3)-Xa	3002544	argannot
(AGly)aac6-31:AJ640197:2474-2992:519	AAC(6')-31	3002585	argannot
(AGly)aac6-32:EF614235:2247-2801:555	AAC(6')-32	3002586	argannot
(AGly)aac6-33:GQ337064:1203-1757:555	AAC(6')-I33	3002587	argannot
(AGly)aac6-Aph2:M13771:304-1743:1440	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	3002597	argannot
(AGly)aac6-I30:AY289608:1524-2078:555	AAC(6')-I30	3002588	argannot
(AGly)aac6-IIa:M29695:707-1261:555	AAC(6')-IIa	3002594	argannot
(AGly)aac6-IIb:L06163:532-1074:543	AAC(6')-IIb	3002595	argannot
(AGly)aac6-IIc:AF162771:62-643:582	AAC(6')-IIc	3002596	argannot
(AGly)aac6-IL:Z54241:530-1051:522	AAC(6')-Ip	3002559	argannot
(AGly)aac6-Ia:M18967:757-1314:558	AAC(6')-Ia	3002545	argannot
(AGly)aac6-Iaa:NC_003197:1707358-1707795:438	AAC(6')-Iaa	3002571	argannot
(AGly)aac6-Iad:AB119105:1-435:435	AAC(6')-Iad	3002572	argannot
(AGly)aac6-Iaf:AB462903:1200-1751:552	AAC(6')-Iaf	3002574	argannot
(AGly)aac6-Iai:EU886977:544-1110:567	AAC(6')-Iai	3002575	argannot
(AGly)aac6-Ib:M21682:380-985:606	AAC(6')-Ib10	3002581	argannot
(AGly)aac6-Ic:M94066:1554-1994:441	AAC(6')-Ic	3002549	argannot
(AGly)aac6-Id:X12618:905-1354:450	AAC(6')-I-48	3004638	argannot
(AGly)aac6-If:X55353:279-713:435	AAC(6')-If	3002553	argannot
(AGly)aac6-Ig:L09246:544-981:438	AAC(6')-Ig	3002554	argannot
(AGly)aac6-Ih:L29044:352-792:441	AAC(6')-Ih	3002555	argannot
(AGly)aac6-Ii:L12710:169-717:549	AAC(6')-Ii	3002556	argannot
(AGly)aac6-Ij:L29045:260-700:441	AAC(6')-Ij	3002557	argannot
(AGly)aac6-Ik:L29510:369-806:438	AAC(6')-Ik	3002558	argannot
(AGly)aac6-Im:AF337947:1215-1751:537	AAC(6')-Im	3004629	argannot
(AGly)aac6-Iq:AF047556:127-678:552	AAC(6')-Iq	3002560	argannot
(AGly)aac6-Ir:AF031326:1-441:441	AAC(6')-Ir	3002561	argannot
(AGly)aac6-Is:AF031327:1-441:441	AAC(6')-Is	3002562	argannot
(AGly)aac6-It:AF031328:1-441:441	AAC(6')-It	3002564	argannot
(AGly)aac6-Iu:AF031329:1-441:441	AAC(6')-Iu	3002565	argannot
(AGly)aac6-Iv:AF031330:1-441:441	AAC(6')-Iv	3002566	argannot
(AGly)aac6-Iw:AF031331:1-441:441	AAC(6')-Iw	3002567	argannot
(AGly)aac6-Iy:AF144880:3452-3979:438	AAC(6')-Iy	3002569	argannot
(AGly)aac6-Iz:AF140221:390-851:462	AAC(6')-Iz	3002570	argannot
(AGly)aac6:DQ302723:81-482:402	AAC(6')-29b	3002584	argannot
(AGly)aac8:M55426:466-1326:861	AAC(3)-VIIIa	3002542	argannot
(AGly)aac:AJ628983:1985-2539:555	AAC(6')-IIa	3002594	argannot
(AGly)aacA29b:AY139599:768-1148:381	AAC(6')-29b	3002584	argannot
(AGly)aacA43:HQ247816:639-1202:564	AAC(6')-I-43	3004641	argannot
(AGly)aacA4:AF416297:2738-3304:567	AAC(6')-Ib8	3002579	argannot
(AGly)aad9:M69221:271-1038:768	ANT(9)-Ib	3007401	argannot
(AGly)aadA1-pm:JQ690540:7968-8798:831	ANT(3'')-IIa	3004089	argannot
(AGly)aadA10:U37105:2807-3640:834	aadA10	3004692	argannot
(AGly)aadA11:AJ567827:1-792:792	aadA8	3002608	argannot
(AGly)aadA12:AY665771:1-792:792	aadA12	3002612	argannot
(AGly)aadA13:AY713504:1-798:798	aadA13	3002613	argannot
(AGly)aadA14:AJ884726:540-1325:786	aadA14	3002614	argannot
(AGly)aadA15:DQ393783:1800-2591:792	aadA15	3002615	argannot
(AGly)aadA16:EU675686:3197-4042:846	aadA16	3002616	argannot
(AGly)aadA17:FJ460181:774-1565:792	aadA17	3002617	argannot
(AGly)aadA1:M95287:3320-4111:792	ANT(3'')-IIa	3004089	argannot
(AGly)aadA21:AY171244:47-838:792	aadA21	3002618	argannot
(AGly)aadA22:AM261837:74-865:792	aadA22	3002619	argannot
(AGly)aadA23:AJ809407:119-898:781	aadA22	3002619	argannot
(AGly)aadA24:HQ123586:88-768:781	ANT(3'')-IIa	3004089	argannot
(AGly)aadA27:NG_054660:101-889:789	aadA27	3004682	argannot
(AGly)aadA2:X68227:66-945:780	aadA2	3002602	argannot
(AGly)aadA3:AF047479:1296-2087:792	aadA3	3002603	argannot
(AGly)aadA4:AY138986:1-798:789	aadA4	3002604	argannot
(AGly)aadA5:AF137361:64-852:789	aadA5	3002605	argannot
(AGly)aadA6:AF140629:61-906:846	aadA6	3002606	argannot
(AGly)aadA7:AF224733:32-829:798	aadA7	3002607	argannot
(AGly)aadA8:AF326210:1-792:792	aadA8	3002608	argannot
(AGly)aadA8b:AM040708:1174-1965:792	aadA8b	3004704	argannot
(AGly)aadA9:AJ420072:26773-27609:837	aadA9	3002609	argannot
(AGly)aadB:JQ690540:4275-4808:534	ANT(2'')-Ia	3000230	argannot
(AGly)aadC:V01282:225-701:477	CRP	3000518	argannot
(AGly)aadD:AF181950:3176-3946:771	ANT(4')-Ia	3002623	argannot
(AGly)aadE-Cc:NG_054665:101-1000:900	aadK	3002627	argannot
(AGly)aadE-Pp:HE577054:1299623-1300477:855	aadK	3002627	argannot
(AGly)aadK-Pm:CP002869:c4442322-4441435:888	aadK	3002627	argannot
(AGly)aadS:NG_047380:101-964:864	aadS	3004683	argannot
(AGly)ant(3'')-IIa:NG_054648:101-889:789	ANT(3'')-IIc	3004091	argannot
(AGly)ant(3'')-IIb:NG_054651:101-892:792	ANT(3'')-IIb	3004090	argannot
(AGly)ant(3'')-IIc:NG_054654:101-889:789	aadA27	3004682	argannot
(AGly)ant(4')-Ic:KY753881:ATL63230:1-771:771	ANT(4')-Ib	3003905	argannot
(AGly)ant(9)-Ia:NG_047397:101-883:783	ANT(9)-Ia	3002630	argannot
(AGly)ant(9)-Ib:NG_047398:101-868:768	ANT(9)-Ib	3007401	argannot
(AGly)ant3''Ih-Aac6-IId:AF453998:3555-4946:1392	ANT(3'')-II-AAC(6')-IId bifunctional protein	3002598	argannot
(AGly)ant4-IIa:M98270:145-903:759	ANT(4')-IIa	3002624	argannot
(AGly)ant4-IIb:AY114142:1061-1816:756	ANT(4')-IIb	3002625	argannot
(AGly)ant4-Ib:AJ506108:209-979:771	ANT(4')-Ib	3003905	argannot
(AGly)ant6-Ia:AF330699:22-930:909	aad(6)	3002628	argannot
(AGly)ant6-Ib:FN594949:27482-28339:858	ANT(6)-Ib	3002629	argannot
(AGly)apH-Stph:HE579073:1778413-1779213:801	APH(9)-Ib	3002663	argannot
(AGly)aph(2'')-IIIa:NG_047399:101-1021:921	APH(2'')-IIIa	3002636	argannot
(AGly)aph(2'')-IIa:NG_047402:1-900:900	APH(2'')-IIa	3002635	argannot
(AGly)aph(2'')-IVa:NG_047403.1:101-1006:906	APH(2'')-IVa	3002637	argannot
(AGly)aph(2'')-Ib:AF207840:272-1171:900	APH(2'')-IIa	3002635	argannot
(AGly)aph(2'')-Ic:U51479:196-1116:921	APH(2'')-IIIa	3002636	argannot
(AGly)aph(2'')-Id:AF016483:131-1036:906	APH(2'')-IVa	3002637	argannot
(AGly)aph(2'')-Ie:AY939911:3536-4441:906	APH(2'')-Ie	3002634	argannot
(AGly)aph(2'')-If:NG_047406:1-891:891	APH(2'')-If	3004191	argannot
(AGly)aph(2'')-Ig:NG_047407:101-1021:921	APH(2'')-Ig	3002669	argannot
(AGly)aph(2'')-Ih:NG_047408:1-894:894	APH(2'')-If	3004191	argannot
(AGly)aph(3'')-III:V01547:535-1329:795	APH(3')-IIIa	3002647	argannot
(AGly)aph(3'')-IIb:X90856:388-1194:807	APH(3')-IIb	3002645	argannot
