Original ID	Gene Name in CARD	ARO	Cut_Off	Database
ARR-2_1_HQ141279	arr-2	3002847	Perfect	resfinder
ARR-3_1_JF806499	arr-3	3002848	Perfect	resfinder
ARR-3_4_FM207631	arr-2	3002847	Strict	resfinder
ARR-4_1_EF660562	arr-4	3002849	Perfect	resfinder
ARR-5_1_EF660563	arr-5	3002850	Perfect	resfinder
ARR-6_1_FM955585	arr-3	3002848	Strict	resfinder
ARR-6_2_FM897214	arr-3	3002848	Strict	resfinder
ARR-6_3_JF922883	arr-3	3002848	Perfect	resfinder
ARR-7_1_FN397623	arr-7	3002852	Perfect	resfinder
ARR-8_1_KC199968	arr-8	3002853	Perfect	resfinder
Cfr(D)_1_NG_067192	cfr(D)	3005021	Perfect	resfinder
Cfr(E)_1_NG_070225	cfrE	3005023	Perfect	resfinder
Gar_1_NG_070891	AAC(6')-Isa	3002563	Loose	resfinder
NarA_1_MN590304	tetA(58)	3003980	Loose	resfinder
OqxA_1_EU370913	oqxA	3003922	Perfect	resfinder
OqxB_1_EU370913	oqxB	3003923	Perfect	resfinder
POM-1_1_GU002295	POM-1	3006974	Strict	resfinder
TOprJ1_1_MK347425	OprJ	3000802	Loose	resfinder
TOprJ2_1_MN175502	OprJ	3000802	Loose	resfinder
TOprJ3_1_LC633285	OprJ	3000802	Loose	resfinder
TOprJ4_1_CP091084	OprJ	3000802	Loose	resfinder
VanA_bc_1_Y15704	vanA	3000010	Strict	resfinder
VanC1XY_1_AF162694	vanC	3000368	Strict	resfinder
VanC1XY_2_DQ022190	vanC	3000368	Strict	resfinder
VanC2XY_1_EU151754	vanC	3000368	Strict	resfinder
VanC2XY_2_EU151755	vanC	3000368	Strict	resfinder
VanC2XY_3_EU151757	vanC	3000368	Strict	resfinder
VanC2XY_4_EU151758	vanC	3000368	Strict	resfinder
VanC2XY_5_EU151760	vanC	3000368	Strict	resfinder
VanC2_1_L29638	vanC	3000368	Strict	resfinder
VanC3XY_1_AY033764	vanC	3000368	Strict	resfinder
VanC3XY_2_EU151759	vanC	3000368	Strict	resfinder
VanC4XY_1_EU151752	vanC	3000368	Strict	resfinder
VanC4XY_2_EU151753	vanC	3000368	Strict	resfinder
VanC4XY_3_EU151756	vanC	3000368	Strict	resfinder
VanEXY_1_FJ872411	vanE	3002907	Strict	resfinder
VanE_1_AF136925	vanE	3002907	Strict	resfinder
VanG2XY_1_FJ872410	vanG	3002909	Strict	resfinder
VanGXY_1_AY271782	vanG	3002909	Strict	resfinder
VanHAX_1_FJ866609	vanH gene in vanA cluster	3002942	Strict	resfinder
VanHAX_2_M97297	vanH gene in vanA cluster	3002942	Strict	resfinder
VanHAX_PA_1_DQ018711	vanH gene in vanF cluster	3002945	Strict	resfinder
VanHAX_PT_1_DQ018710	vanH gene in vanA cluster	3002942	Strict	resfinder
VanHAX_PT_2_AY926880	vanH gene in vanA cluster	3002942	Strict	resfinder
VanHBX_1_AF192329	vanH gene in vanB cluster	3002943	Strict	resfinder
VanHBX_2_U35369	vanH gene in vanB cluster	3002943	Strict	resfinder
VanHDX_1_AF130997	vanH gene in vanD cluster	3002944	Strict	resfinder
VanHDX_2_EU999036	vanH gene in vanD cluster	3002944	Strict	resfinder
VanHDX_3_AF175293	vanH gene in vanD cluster	3002944	Strict	resfinder
VanHDX_4_AY082011	vanH gene in vanD cluster	3002944	Strict	resfinder
VanHDX_5_AY489045	vanH gene in vanD cluster	3002944	Strict	resfinder
VanHDX_6_DQ172830	vanH gene in vanD cluster	3002944	Strict	resfinder
VanHDX_7_AB242319	vanH gene in vanD cluster	3002944	Strict	resfinder
VanHFX_1_AF155139	vanH gene in vanF cluster	3002945	Strict	resfinder
VanHMX_1_FJ349556	vanH gene in vanM cluster	3002947	Strict	resfinder
VanHOX_1_KF478993	vanH gene in vanO cluster	3002948	Strict	resfinder
VanH_bc_1_Y15705	vanH gene in vanA cluster	3002942	Strict	resfinder
VanLXY_1_EU250284	vanL	3002910	Strict	resfinder
VanNXY_1_JF802084	vanN	3002912	Strict	resfinder
VanXY_C2_1_AY033089	vanXY gene in vanC cluster	3002966	Strict	resfinder
VanX_bc_1_Y15708	vanX gene in vanA cluster	3002949	Strict	resfinder
aac(2')-IIa_1_AB669090	AAC(2')-IIa	3004628	Perfect	resfinder
aac(2')-Ia_1_L06156	AAC(2')-Ia	3002523	Perfect	resfinder
aac(2')-Ib_1_U41471	AAC(2')-Ib	3002524	Strict	resfinder
aac(2')-Ic_1_U72714	AAC(2')-Ic	3002525	Strict	resfinder
aac(2')-Id_1_U72743	AAC(2')-Id	3002526	Strict	resfinder
aac(2')-Ie_1_NC011896	AAC(2')-Ie	3002527	Perfect	resfinder
aac(3)-IIIa_1_X55652	AAC(3)-IIIa	3002536	Perfect	resfinder
aac(3)-IIIb_1_L06160	AAC(3)-IIIb	3002537	Loose	resfinder
aac(3)-IIIb_2_LLLC01000048	AAC(3)-IIIb	3002537	Perfect	resfinder
aac(3)-IIIc_1_L06161	AAC(3)-IIIc	3002538	Perfect	resfinder
aac(3)-IIa_1_X51534	AAC(3)-IIe	3004621	Strict	resfinder
aac(3)-IIa_2_AY138987	AAC(3)-IIe	3004621	Strict	resfinder
aac(3)-IIa_3_X13543	AAC(3)-IIa	3002533	Perfect	resfinder
aac(3)-IIa_4_L22613	AAC(3)-IId	3004623	Strict	resfinder
aac(3)-IIa_5_FJ012882	AAC(3)-IIe	3004621	Strict	resfinder
aac(3)-IIa_6_CP023555	AAC(3)-IIe	3004621	Strict	resfinder
aac(3)-IIb_1_M97172	AAC(3)-IIb	3002534	Perfect	resfinder
aac(3)-IIc_1_X54723	AAC(3)-IIc	3002535	Perfect	resfinder
aac(3)-IId_1_EU022314	AAC(3)-IId	3004623	Perfect	resfinder
aac(3)-IIe_1_EU022315	AAC(3)-IIe	3004621	Perfect	resfinder
aac(3)-IV_1_DQ241380	AAC(3)-IVa	3002539	Strict	resfinder
aac(3)-IVa_1_X01385	AAC(3)-IVa	3002539	Strict	resfinder
aac(3)-IXa_1_M55427	AAC(3)-IXa	3002543	Perfect	resfinder
aac(3)-Ia_1_X15852	AAC(3)-Ia	3002528	Strict	resfinder
aac(3)-Ib-aac(6')-Ib_1_AF355189	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	3002600	Perfect	resfinder
aac(3)-Ib_1_L06157	AAC(3)-Ib	3002530	Perfect	resfinder
aac(3)-Ic_1_AJ511268	AAC(3)-Ic	3002531	Perfect	resfinder
aac(3)-Id_1_AB114632	AAC(3)-Id	3002529	Strict	resfinder
aac(3)-If_1_AY884051	AAC(3)-Ib	3002530	Loose	resfinder
aac(3)-Ig_1_CP000282	AAC(3)-Id	3002529	Loose	resfinder
