input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity
groot.resfinder.tsv	cfiA9_1_AB087234	cfiA9_1_AB087234	groot	v	cfiA9_1_AB087234	groot	v	gene_presence_detected			79.0																750								
groot.resfinder.tsv	erm(B)_11_M19270	erm(B)_11_M19270	groot	v	erm(B)_11_M19270	groot	v	gene_presence_detected			132.0																738								
groot.resfinder.tsv	ant(6)-Ia_3_KF864551	ant(6)-Ia_3_KF864551	groot	v	ant(6)-Ia_3_KF864551	groot	v	gene_presence_detected			217.0																867								
groot.resfinder.tsv	tet(40)_3_AM419751	tet(40)_3_AM419751	groot	v	tet(40)_3_AM419751	groot	v	gene_presence_detected			315.0																1221								
groot.resfinder.tsv	erm(B)_15_U48430	erm(B)_15_U48430	groot	v	erm(B)_15_U48430	groot	v	gene_presence_detected			159.0																753								
groot.resfinder.tsv	blaOXA-347_1_JN086160	blaOXA-347_1_JN086160	groot	v	blaOXA-347_1_JN086160	groot	v	gene_presence_detected			191.0																825								
groot.resfinder.tsv	erm(B)_9_AF299292	erm(B)_9_AF299292	groot	v	erm(B)_9_AF299292	groot	v	gene_presence_detected			191.0																738								
groot.resfinder.tsv	tet(W)_1_DQ060146	tet(W)_1_DQ060146	groot	v	tet(W)_1_DQ060146	groot	v	gene_presence_detected			201.0																1920								
groot.resfinder.tsv	cfxA2_1_AF504914	cfxA2_1_AF504914	groot	v	cfxA2_1_AF504914	groot	v	gene_presence_detected			321.0																966								
groot.resfinder.tsv	tet(W)_5_AJ427421	tet(W)_5_AJ427421	groot	v	tet(W)_5_AJ427421	groot	v	gene_presence_detected			199.0																1920								
groot.resfinder.tsv	erm(B)_6_AF242872	erm(B)_6_AF242872	groot	v	erm(B)_6_AF242872	groot	v	gene_presence_detected			192.0																747								
groot.resfinder.tsv	tet(40)_1_FJ158002	tet(40)_1_FJ158002	groot	v	tet(40)_1_FJ158002	groot	v	gene_presence_detected			322.0																1221								
groot.resfinder.tsv	erm(B)_1_JN899585	erm(B)_1_JN899585	groot	v	erm(B)_1_JN899585	groot	v	gene_presence_detected			214.0																738								
groot.resfinder.tsv	tet(32)_2_EF626943	tet(32)_2_EF626943	groot	v	tet(32)_2_EF626943	groot	v	gene_presence_detected			148.0																1920								
groot.resfinder.tsv	cfxA3_1_AF472622	cfxA3_1_AF472622	groot	v	cfxA3_1_AF472622	groot	v	gene_presence_detected			519.0																966								
groot.resfinder.tsv	tet(Q)_4_Z21523	tet(Q)_4_Z21523	groot	v	tet(Q)_4_Z21523	groot	v	gene_presence_detected			539.0																1974								
groot.resfinder.tsv	tet(W)_6_FN396364	tet(W)_6_FN396364	groot	v	tet(W)_6_FN396364	groot	v	gene_presence_detected			215.0																1920								
groot.resfinder.tsv	cfxA5_1_AY769934	cfxA5_1_AY769934	groot	v	cfxA5_1_AY769934	groot	v	gene_presence_detected			449.0																966								
groot.resfinder.tsv	erm(B)_7_AF368302	erm(B)_7_AF368302	groot	v	erm(B)_7_AF368302	groot	v	gene_presence_detected			201.0																711								
groot.resfinder.tsv	erm(B)_10_U86375	erm(B)_10_U86375	groot	v	erm(B)_10_U86375	groot	v	gene_presence_detected			178.0																738								
groot.resfinder.tsv	cfxA4_1_AY769933	cfxA4_1_AY769933	groot	v	cfxA4_1_AY769933	groot	v	gene_presence_detected			450.0																966								
groot.resfinder.tsv	tetO_4_AIOQ01000025	tetO_4_AIOQ01000025	groot	v	tetO_4_AIOQ01000025	groot	v	gene_presence_detected			767.0																1920								
groot.resfinder.tsv	erm(B)_12_U18931	erm(B)_12_U18931	groot	v	erm(B)_12_U18931	groot	v	gene_presence_detected			238.0																738								
groot.resfinder.tsv	tet(W)_4_AJ427422	tet(W)_4_AJ427422	groot	v	tet(W)_4_AJ427422	groot	v	gene_presence_detected			203.0																1920								
groot.resfinder.tsv	erm(F)_2_M17124	erm(F)_2_M17124	groot	v	erm(F)_2_M17124	groot	v	gene_presence_detected			321.0																801								
groot.resfinder.tsv	tet(40)_2_FJ158002	tet(40)_2_FJ158002	groot	v	tet(40)_2_FJ158002	groot	v	gene_presence_detected			409.0																1221								
groot.resfinder.tsv	erm(F)_3_M17808	erm(F)_3_M17808	groot	v	erm(F)_3_M17808	groot	v	gene_presence_detected			380.0																801								
groot.resfinder.tsv	tet(Q)_1_L33696	tet(Q)_1_L33696	groot	v	tet(Q)_1_L33696	groot	v	gene_presence_detected			1021.0																1926								
