Original ID	ARO	Gene Name in CARD	Description
0|NDR16747.1|1|1|sel28|sel28||1|||staphylococcal_enterotoxin_type_28			General stress response/Virulence gene
100173053|ABF69110.1|1|1|beta-4|beta-4||1|KAPPA|INTIMIN|intimin_type_kappa			General stress response/Virulence gene
100173075|ABF69121.1|1|1|epsilon-2|epsilon-2||1|EPSILON|INTIMIN|intimin_type_epsilon			General stress response/Virulence gene
100173077|ABF69122.1|1|1|alpha-5|alpha-5||1|NU|INTIMIN|intimin_type_nu			General stress response/Virulence gene
1028085756|WP_063844287.1|1|1|cpt|cpt|phosphotransferase|2|CHLORAMPHENICOL|PHENICOL|chloramphenicol_phosphotransferase_CPT	3000249	chloramphenicol phosphotransferase	
1035517479|BAA82061.2|1|1|merB1|merB1||1|ORGANOMERCURY|MERCURY|organomercurial_lyase_MerB1			Metal resistance gene
1061414|AAB09624.1|1|1|arsR_R46|arsR_R46||1|ARSENIC|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR			Metal resistance gene
1088258|AAA98293.1|1|1|terE|terE||1|TELLURIUM|TELLURIUM|tellurium_resistance_cAMP_binding_protein_TerE			Metal resistance gene
1122937092|OKT93637.1|1|1|crsA|crsA||1|||CS26_fimbrial_major_subunit_CrsA			General stress response/Virulence gene
1150846|AAA85196.1|1|1|cnf1|cnf1||1|||cytotoxic_necrotizing_factor_CNF1			General stress response/Virulence gene
11527908|AAG37043.1|1|1|espC|espC||1|||serine_protease_autotransporter_toxin_EspC			General stress response/Virulence gene
115500654|BAF33885.1|1|1|sepA|sepA||1|||serine_protease_autotransporter_toxin_SepA			General stress response/Virulence gene
115514355|ABJ02430.1|1|1|ireA|ireA||1|||TonB-dependent_siderophore_receptor_IreA			General stress response/Virulence gene
1159362952|OPH66324.1|1|1|lpfA1|lpfA1||1|||long_polar_fimbria_major_subunit_LpfA1			General stress response/Virulence gene
1212330120|ASF80766.1|1|1|LHR_yfdX2|LHR_yfdX2||1|||heat_resistance_protein_YfdX2			General stress response/Virulence gene
1212330125|ASF80771.1|1|1|LHR_hsp20B|LHR_hsp20B||1|||small_heat_shock_protein_sHSP20-GI			General stress response/Virulence gene
121308153|CAM11313.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
121308155|CAM11314.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
121308173|CAM11323.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
121308175|CAM11324.1|1|1|nleA|nleA||1|||type_III_secretion_system_effector_NleA			General stress response/Virulence gene
1232061|AAA92621.1|1|1|f17g|f17g||1|||F17G_fimbrial_adhesin			General stress response/Virulence gene
123229145|ABM73977.1|1|1|bont_B3|bont_B3||1|||botulinum_neurotoxin_subtype_B3			General stress response/Virulence gene
124106630|BAF45437.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
124106634|BAF45439.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
124106636|BAF45440.1|1|1|tccP2|tccP2||1|||Tir-cytoskeleton_coupling_protein_TccP2			General stress response/Virulence gene
